c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"<LOST POWER, HAS EFFECT, NOSED OVER>
<NOSED OVER, EVENT DISTANCE, LANDING>
<NOSED OVER, LOCATION, SLOPE>
<FAILED TO VISUALLY CHECK FUEL, HAS CAUSE, LOST POWER>","<LOST POWER, HAS EFFECT, NOSED OVER>
<NOSED OVER, EVENT DISTANCE, LANDING>
<NOSED OVER, LOCATION, SLOPE>
<FAILED TO VISUALLY CHECK FUEL, HAS CAUSE, LOST POWER>"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"<LOST LEFT ENGINE, LOCATION, H71>
<FEATHERED, HAS EFFECT, BEGAN GO AROUND>
<BEGAN GO AROUND, EVENT DISTANCE, BELOW VMC>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<CRASHED, HAS CAUSE, CRACKED ENGINE CASE>","<LOST LEFT ENGINE, LOCATION, H71>
<FEATHERED, HAS EFFECT, BEGAN GO AROUND>
<BEGAN GO AROUND, EVENT DISTANCE, BELOW VMC>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<CRASHED, HAS CAUSE, CRACKED ENGINE CASE>"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","<ATTEMPTED TAKEOFF, EVENT DISTANCE, 2500 FT>
<ATTEMPTED TAKEOFF, INFLUENCED BY, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, HAS CAUSE, HIT TREES>
<ATTEMPTED TAKEOFF, HAS EFFECT, CRASHED>","<ATTEMPTED TAKEOFF, EVENT DISTANCE, 2500 FT>
<ATTEMPTED TAKEOFF, INFLUENCED BY, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, HAS CAUSE, HIT TREES>
<ATTEMPTED TAKEOFF, HAS EFFECT, CRASHED>"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, TIME PERIOD, TAKEOFF>
<AIRCRAFT, INSTANCE OF, DC-10>
<AIRCRAFT, TIME PERIOD, NOT HAD ANNUAL INSPECTION>","<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, TIME PERIOD, TAKEOFF>
<AIRCRAFT, INSTANCE OF, DC-10>
<AIRCRAFT, TIME PERIOD, NOT HAD ANNUAL INSPECTION>"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","<CESSNA 207, INSTANCE OF, N1549U>
<PILOT, USED BY, CESSNA 207>
<TAKEOFF, FOLLOWED BY, ENGINE STOPPED>
<BETHEL AIRPORT, LOCATION, TAKEOFF>","<CESSNA 207, INSTANCE OF, N1549U>
<PILOT, USED BY, CESSNA 207>
<TAKEOFF, FOLLOWED BY, ENGINE STOPPED>
<BETHEL AIRPORT, LOCATION, TAKEOFF>"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"<TOUCHED DOWN, HAS EFFECT, LONG AND BOUNCED>
<TOUCHED DOWN, FOLLOWED BY, ATTEMPTED DOWNWIND GO AROUND>
<ATTEMPTED DOWNWIND GO AROUND, HAS EFFECT, FULL FLAPS>
<STRUCK TREE, HAS CAUSE, TOUCHED DOWN>
<STRUCK TREE, LOCATION, 3 MILES FROM AIRPORT>","<TOUCHED DOWN, HAS EFFECT, LONG AND BOUNCED>
<TOUCHED DOWN, FOLLOWED BY, ATTEMPTED DOWNWIND GO AROUND>
<ATTEMPTED DOWNWIND GO AROUND, HAS EFFECT, FULL FLAPS>
<STRUCK TREE, HAS CAUSE, TOUCHED DOWN>
<STRUCK TREE, LOCATION, 3 MILES FROM AIRPORT>"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"<ENTERED TCA, FOLLOWED BY, ATC COMMUNICATION>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>","<ENTERED TCA, FOLLOWED BY, ATC COMMUNICATION>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","<AIRCRAFT, TIME PERIOD, CRUISE FLIGHT>
<AIRCRAFT, HAS EFFECT, RPM LOSS>
<PILOT, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, ACTION, MADE AN EMERG>","<AIRCRAFT, TIME PERIOD, CRUISE FLIGHT>
<AIRCRAFT, HAS EFFECT, RPM LOSS>
<PILOT, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, ACTION, MADE AN EMERG>"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"<NOSE BAGGAGE DOOR, OPENED, TAKEOFF>
<BAGGAGE, HIT, LEFT PROP>
<BELLWOU MC, FOLLOWED BY, LANDED ON SEA ICE>
<DOOR, FOLLOWED BY, WILL FLY>","<NOSE BAGGAGE DOOR, OPENED, TAKEOFF>
<BAGGAGE, HIT, LEFT PROP>
<BELLWOU MC, FOLLOWED BY, LANDED ON SEA ICE>
<DOOR, FOLLOWED BY, WILL FLY>"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"<ENGINE, HAS CAUSE, CLIMBOUT>
<CLIMBOUT, HAS EFFECT, SPARK PLUGS OUT OF TOLERENCE>
<PRIMER, LOCATION, CITY STREET>","<ENGINE, HAS CAUSE, CLIMBOUT>
<CLIMBOUT, HAS EFFECT, SPARK PLUGS OUT OF TOLERENCE>
<PRIMER, LOCATION, CITY STREET>"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","<-23, PART OF, TAXI OUT>
<-23, HAS CAUSE, NOSE LANDING GEAR GREEN LIGHT WAS OUT>
<-23, FOLLOWED BY, ATTEMPTED TO SWAP LIGHTS TO VERIFY TH>","<-23, PART OF, TAXI OUT>
<-23, HAS CAUSE, NOSE LANDING GEAR GREEN LIGHT WAS OUT>
<-23, FOLLOWED BY, ATTEMPTED TO SWAP LIGHTS TO VERIFY TH>"
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","<ELECTRIC POWER, HAS CAUSE, IFR DUAL FLIGHT>
<IFR DUAL FLIGHT, FOLLOWED BY, FORCED LANDING>
<FORCED LANDING, HAS EFFECT, STRUCK POWER POLE>
<PILOT, HAS CAUSE, PILOT ERROR>
<CIRCUIT BREAKER, HAS EFFECT, FOUND OFF>","<ELECTRIC POWER, HAS CAUSE, IFR DUAL FLIGHT>
<IFR DUAL FLIGHT, FOLLOWED BY, FORCED LANDING>
<FORCED LANDING, HAS EFFECT, STRUCK POWER POLE>
<PILOT, HAS CAUSE, PILOT ERROR>
<CIRCUIT BREAKER, HAS EFFECT, FOUND OFF>"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"<LOUD BANG, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING, PART OF, ROTOR>
<ENGINE COWLING, STATE, SEPERATED>
<COWL, PART OF, ENGINE COWLING>
<COWL, STATE, NOT FASTENED>","<LOUD BANG, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING, PART OF, ROTOR>
<ENGINE COWLING, STATE, SEPERATED>
<COWL, PART OF, ENGINE COWLING>
<COWL, STATE, NOT FASTENED>"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"<CLIMBOUT, HAS EFFECT, STALLED>
<STALLED, HAS EFFECT, CRASHED>
<SEAT, PART OF, SEAT TRACK>
<SEAT TRACK, HAS PART, LOCKING PINS>
<LOCKING PINS, STATE, MISSING>
<SEAT, HAS PART, PIN>
<PIN, STATE, BENT>
<SEAT, HAS PART, BELT>
<BELT, STATE, NOT FASTENED>","<CLIMBOUT, HAS EFFECT, STALLED>
<STALLED, HAS EFFECT, CRASHED>
<SEAT, PART OF, SEAT TRACK>
<SEAT TRACK, HAS PART, LOCKING PINS>
<LOCKING PINS, STATE, MISSING>
<SEAT, HAS PART, PIN>
<PIN, STATE, BENT>
<SEAT, HAS PART, BELT>
<BELT, STATE, NOT FASTENED>"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING, HAS CAUSE, POWER LOSS>
<FORCED LANDING, LOCATION, ?>
<FOUND WATER, HAS CAUSE, FUEL>
<FUEL, PART OF, FUEL SYSTEM>","<FORCED LANDING, HAS CAUSE, POWER LOSS>
<FORCED LANDING, LOCATION, ?>
<FOUND WATER, HAS CAUSE, FUEL>
<FUEL, PART OF, FUEL SYSTEM>"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"<AIRPLANE, LOST CONTROL, TAKEOFF ROLL>
<AIRPLANE, HAS EFFECT, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>","<AIRPLANE, LOST CONTROL, TAKEOFF ROLL>
<AIRPLANE, HAS EFFECT, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","<PILOT, LANDED IN, FIELD>
<PILOT, FOLLOWED BY, CLIMBOUT>
<ENGINE, RAN, ROUGH>
<PILOT, CLAIMS, WATER>
<PILOT, CLAIMS, FUEL>","<PILOT, LANDED IN, FIELD>
<PILOT, FOLLOWED BY, CLIMBOUT>
<ENGINE, RAN, ROUGH>
<PILOT, CLAIMS, WATER>
<PILOT, CLAIMS, FUEL>"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","<PILOT, TIME PERIOD, TAKEOFF>
<PILOT, TIME PERIOD, AT ROTATION>
<SEAT, HAS EFFECT, OVERROTATE>","<PILOT, TIME PERIOD, TAKEOFF>
<PILOT, TIME PERIOD, AT ROTATION>
<SEAT, HAS EFFECT, OVERROTATE>"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","<N7016M, INSTANCE OF, AIRCRAFT>
<N7016M, TIME PERIOD, MARCH 14, 1995>
<N7016M, EVENT DISTANCE, NEAR THE BLO>","<N7016M, INSTANCE OF, AIRCRAFT>
<N7016M, TIME PERIOD, MARCH 14, 1995>
<N7016M, EVENT DISTANCE, NEAR THE BLO>"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"<FUEL EXHAUSTION, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, HAS EFFECT, EMERGENCY LANDING>","<FUEL EXHAUSTION, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, HAS EFFECT, EMERGENCY LANDING>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<AIRCRAFT, PART OF, TAXIING>
<AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>","<AIRCRAFT, PART OF, TAXIING>
<AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"<ENGINE START, HAS EFFECT, PILOTS SEAT>
<PILOTS SEAT, POSITION, FULL AFT>
<AIRCRAFT, USED BY, PILOTS>
<AIRCRAFT, COLLIDED WITH, PARKED PLANE>","<ENGINE START, HAS EFFECT, PILOTS SEAT>
<PILOTS SEAT, POSITION, FULL AFT>
<AIRCRAFT, USED BY, PILOTS>
<AIRCRAFT, COLLIDED WITH, PARKED PLANE>"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"<PILOT, NOTICED, RIGHT FUEL CAP MISSING>
<PILOT, ACTION, ABORTED>
<PILOT, LANDED ON, RUNWAY>
<PILOT, RAN, SIDE OF RUNWAY>","<PILOT, NOTICED, RIGHT FUEL CAP MISSING>
<PILOT, ACTION, ABORTED>
<PILOT, LANDED ON, RUNWAY>
<PILOT, RAN, SIDE OF RUNWAY>"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","<AIRCRAFT, DEPARTED FROM, BARTLESVILLE MUNICIPAL AIRPORT (BVO)>
<BARTLESVILLE MUNICIPAL AIRPORT (BVO), LOCATION, BARTLESVILLE, OK>
<DEPARTURE, TIME, 1147 AM LOCAL TIME>","<AIRCRAFT, DEPARTED FROM, BARTLESVILLE MUNICIPAL AIRPORT (BVO)>
<BARTLESVILLE MUNICIPAL AIRPORT (BVO), LOCATION, BARTLESVILLE, OK>
<DEPARTURE, TIME, 1147 AM LOCAL TIME>"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"<PILOT, RAN OFF, END OF RUNWAY>
<BRAKE, FAILED, REMAINING>","<PILOT, RAN OFF, END OF RUNWAY>
<BRAKE, FAILED, REMAINING>"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"<WHEELS, PART OF, WHEEL PANTS>
<WHEELS, HAS EFFECT, SNOW PACKED>
<TOUCH AND GO LANDINGS, FOLLOWED BY, WHEELS LOCKED UP>","<WHEELS, PART OF, WHEEL PANTS>
<WHEELS, HAS EFFECT, SNOW PACKED>
<TOUCH AND GO LANDINGS, FOLLOWED BY, WHEELS LOCKED UP>"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"<LOST POWER, HAS EFFECT, LANDED HARD>
<LANDED HARD, LOCATION, WATER>
<LANDED HARD, HAS EFFECT, ROUGH>
<DAMAGED FLOATS, HAS EFFECT, LANDED HARD>
<LONGERON, HAS EFFECT, LANDED HARD>
<WATER, HAS EFFECT, FUEL>
<WATER, LOCATION, SUMP>
<FUEL, LOCATION, SUMP>","<LOST POWER, HAS EFFECT, LANDED HARD>
<LANDED HARD, LOCATION, WATER>
<LANDED HARD, HAS EFFECT, ROUGH>
<DAMAGED FLOATS, HAS EFFECT, LANDED HARD>
<LONGERON, HAS EFFECT, LANDED HARD>
<WATER, HAS EFFECT, FUEL>
<WATER, LOCATION, SUMP>
<FUEL, LOCATION, SUMP>"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","<AIRCRAFT, STARTED SLIDING, LEFT SIDE OF RUNWAY>","<AIRCRAFT, STARTED SLIDING, LEFT SIDE OF RUNWAY>"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"<ENGINE COWLING, PART OF, ENGINE>
<ENGINE COWLING, EVENT DISTANCE, IN FLIGHT>","<ENGINE COWLING, PART OF, ENGINE>
<ENGINE COWLING, EVENT DISTANCE, IN FLIGHT>"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","<NOTH PLATTE, LOCATION, NE>
<IOWA CITY, LOCATION, IA>
<AIRCRAFT, TIME PERIOD, FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA>
<AIRCRAFT, DISTANCE, 487 STATUTE MILES>
<AIRCRAFT, HAS EFFECT, LOST POWER>
<AIRCRAFT, LOCATION, GRINNELL>","<NOTH PLATTE, LOCATION, NE>
<IOWA CITY, LOCATION, IA>
<AIRCRAFT, TIME PERIOD, FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA>
<AIRCRAFT, DISTANCE, 487 STATUTE MILES>
<AIRCRAFT, HAS EFFECT, LOST POWER>
<AIRCRAFT, LOCATION, GRINNELL>"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"<TIE DOWN STRAP, PART OF, LEFT SKID>
<TIE DOWN STRAP, CAUGHT ON, TRAILER>","<TIE DOWN STRAP, PART OF, LEFT SKID>
<TIE DOWN STRAP, CAUGHT ON, TRAILER>"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,,
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"<FUEL CONTAMINATION, PART OF, AIRFRAME>
<FUEL CONTAMINATION, LOCATION, FUEL FILTER>
<FUEL CONTAMINATION, LOCATION, ENGINE DRIVEN FUEL PUMP FILTER>","<FUEL CONTAMINATION, PART OF, AIRFRAME>
<FUEL CONTAMINATION, LOCATION, FUEL FILTER>
<FUEL CONTAMINATION, LOCATION, ENGINE DRIVEN FUEL PUMP FILTER>"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"<CONNECTING ROD, BENT BY, HYDRO LOCK>
<CONNECTING ROD, TIME PERIOD, STARTUP>
<CONNECTING ROD, BROKE>
<BROKE, CAUSE, NR5 CYL>
<BROKE, HAS EFFECT, PORP SHAFT>
<PORP SHAFT, BROKE>","<CONNECTING ROD, BENT BY, HYDRO LOCK>
<CONNECTING ROD, TIME PERIOD, STARTUP>
<CONNECTING ROD, BROKE>
<BROKE, CAUSE, NR5 CYL>
<BROKE, HAS EFFECT, PORP SHAFT>
<PORP SHAFT, BROKE>"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","<AIRCRAFT, STRUCK, N106DA>
<AIRCRAFT, HAS CAUSE, BRAKE PROBLEMS>","<AIRCRAFT, STRUCK, N106DA>
<AIRCRAFT, HAS CAUSE, BRAKE PROBLEMS>"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","<N759TY, INSTANCE OF, AIRCRAFT>
<CE-182, FOLLOWED BY, HOT SPRINGS, ARKANSAS>
<CE-182, FOLLOWED BY, FAYETTEVILLE, TENNESSEE>
<CE-182, HAS CAUSE, ENGINE Q>","<N759TY, INSTANCE OF, AIRCRAFT>
<CE-182, FOLLOWED BY, HOT SPRINGS, ARKANSAS>
<CE-182, FOLLOWED BY, FAYETTEVILLE, TENNESSEE>
<CE-182, HAS CAUSE, ENGINE Q>"
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"<NOSE BAGGAGE DOOR, OPENED, CLIMBOUT>
<REDUCED POWER, HAS EFFECT, STALLED>
<STALLED, FOLLOWED BY, DIVED INTO OCEAN>
<TEST FLIGHT, FOLLOWED BY, STORAGE>","<NOSE BAGGAGE DOOR, OPENED, CLIMBOUT>
<REDUCED POWER, HAS EFFECT, STALLED>
<STALLED, FOLLOWED BY, DIVED INTO OCEAN>
<TEST FLIGHT, FOLLOWED BY, STORAGE>"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"<ELEVATOR CONTROL, INSTANCE OF, JAMMED>
<SHEN HARNESS, CAUGHT ON, ELEVATOR CABLE>
<STICK BOOT, NOT FASTENED TO, FLOOR>
<ELEVATOR, HAS EFFECT, FIELD>","<ELEVATOR CONTROL, INSTANCE OF, JAMMED>
<SHEN HARNESS, CAUGHT ON, ELEVATOR CABLE>
<STICK BOOT, NOT FASTENED TO, FLOOR>
<ELEVATOR, HAS EFFECT, FIELD>"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"<LOST POWER, HAS CAUSE, EN ROUTE>
<LANDED ON PRIVATE STRIP, FOLLOWED BY, Nosed Over>
<Nosed Over, HAS CAUSE, LEFT FUEL CAP LEAKED>
<LEFT FUEL CAP LEAKED, HAS EFFECT, Prevented Gravity Fuel Flow>","<LOST POWER, HAS CAUSE, EN ROUTE>
<LANDED ON PRIVATE STRIP, FOLLOWED BY, Nosed Over>
<Nosed Over, HAS CAUSE, LEFT FUEL CAP LEAKED>
<LEFT FUEL CAP LEAKED, HAS EFFECT, Prevented Gravity Fuel Flow>"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"<ACFT DISPATCHER, HAS CAUSE, PILOT FORGOT TO REMOVE TIEDROPE>
<PILOT, HAS CAUSE, TIEDROPE>","<ACFT DISPATCHER, HAS CAUSE, PILOT FORGOT TO REMOVE TIEDROPE>
<PILOT, HAS CAUSE, TIEDROPE>"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","<HELICOPTER, INSTANCE OF, BELL HELICOPTER>
<HELICOPTER, LOCATION, HELIPAD>
<RPM CONTROL, USED BY, PILOT>
<RPM CONTROL, FOLLOWED BY, TAKEOFF>","<HELICOPTER, INSTANCE OF, BELL HELICOPTER>
<HELICOPTER, LOCATION, HELIPAD>
<RPM CONTROL, USED BY, PILOT>
<RPM CONTROL, FOLLOWED BY, TAKEOFF>"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","<COPPER TUBE, USED BY, LOCAL OPERATOR>
<COPPER TUBE, PART OF, AERIAL BANNERS>
<COPPER TUBE, HAS CAUSE, FELL THROUGH THE ROOF>
<ROOF, LOCATION, HOUSE>","<COPPER TUBE, USED BY, LOCAL OPERATOR>
<COPPER TUBE, PART OF, AERIAL BANNERS>
<COPPER TUBE, HAS CAUSE, FELL THROUGH THE ROOF>
<ROOF, LOCATION, HOUSE>"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","<MR. KADERA, LOCATED AT, HIGHWAY 93>
<MR. KADERA, HAS CAUSE, FORCED TO LAND>
<MR. KADERA, EVENT DISTANCE, 3 MILES>
<MR. KADERA, LOCATION, SUNMER, IOWA>","<MR. KADERA, LOCATED AT, HIGHWAY 93>
<MR. KADERA, HAS CAUSE, FORCED TO LAND>
<MR. KADERA, EVENT DISTANCE, 3 MILES>
<MR. KADERA, LOCATION, SUNMER, IOWA>"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","<CIERNIA GLASAIR III, INSTANCE OF, HOMEBUILT>
<N153JC, INSTANCE OF, CIERNIA GLASAIR III>
<SEPTEMBER 23, 1999, TIME PERIOD, 1900 HOURS PACIFIC DAYLIGHT TIME>","<CIERNIA GLASAIR III, INSTANCE OF, HOMEBUILT>
<N153JC, INSTANCE OF, CIERNIA GLASAIR III>
<SEPTEMBER 23, 1999, TIME PERIOD, 1900 HOURS PACIFIC DAYLIGHT TIME>"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"<NOSE BAGGAGE CARGO, PART OF, WOODEN WHEEL CHOCK>
<NOSE BAGGAGE CARGO, HAS EFFECT, JAMMED THE NOSE LANDING GEAR>
<JAMMED THE NOSE LANDING GEAR, HAS CAUSE, FLIGHT>","<NOSE BAGGAGE CARGO, PART OF, WOODEN WHEEL CHOCK>
<NOSE BAGGAGE CARGO, HAS EFFECT, JAMMED THE NOSE LANDING GEAR>
<JAMMED THE NOSE LANDING GEAR, HAS CAUSE, FLIGHT>"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","<EXPLOSION, HAS CAUSE, LOGS>
<EXPLOSION, FOLLOWED BY, PITCHED UP>
<EXPLOSION, FOLLOWED BY, ROLLED>
<COMPRESSOR STALL, HAS CAUSE, NR1 ENGINE>
<COMPRESSOR STALL, HAS EFFECT, FAILED RELEASE LOGS>
<COMPRESSOR STALL, USED BY, SE PROCEDURES>","<EXPLOSION, HAS CAUSE, LOGS>
<EXPLOSION, FOLLOWED BY, PITCHED UP>
<EXPLOSION, FOLLOWED BY, ROLLED>
<COMPRESSOR STALL, HAS CAUSE, NR1 ENGINE>
<COMPRESSOR STALL, HAS EFFECT, FAILED RELEASE LOGS>
<COMPRESSOR STALL, USED BY, SE PROCEDURES>"
