c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,"<ENGINE, HAS CAUSE, FUEL EXHAUSTION>
<ENGINE, TIME PERIOD, SOON AFTER LIFT OFF>
<PILOT, USED BY, FUEL GAUGE>
<FUEL GAUGE, HAS EFFECT, PILOT>","<ENGINE, HAS CAUSE, FUEL EXHAUSTION>
<ENGINE, TIME PERIOD, SOON AFTER LIFT OFF>
<PILOT, USED BY, FUEL GAUGE>
<FUEL GAUGE, HAS EFFECT, PILOT>"
19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,"<PILOT, USED BY, PILOT>
<PILOT, PERFORMED ACTION, STRUCK>
<BARRICADE, LOCATION, TAXI>
<BARRICADE, HAS CAUSE, UNLIGHTED>
<TAXING, FOLLOWED BY, LANDING>","<PILOT, USED BY, PILOT>
<PILOT, PERFORMED ACTION, STRUCK>
<BARRICADE, LOCATION, TAXI>
<BARRICADE, HAS CAUSE, UNLIGHTED>
<TAXING, FOLLOWED BY, LANDING>"
19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","<PILOT, HAS CAUSE, LOW OIL PRESSURE>
<PILOT, HAS CAUSE, NOT CHECKED IT BEFORE TAKEOFF>
<LOW OIL PRESSURE, HAS EFFECT, EMERGENCY LANDING>
<PILOT, MAINTAINED BY, OIL>","<PILOT, HAS CAUSE, LOW OIL PRESSURE>
<PILOT, HAS CAUSE, NOT CHECKED IT BEFORE TAKEOFF>
<LOW OIL PRESSURE, HAS EFFECT, EMERGENCY LANDING>
<PILOT, MAINTAINED BY, OIL>"
19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"<ENGINE, HAS CAUSE, SURGING IN FLIGHT>
<ENGINE, HAS CAUSE, FUEL CONTAMINATION>
<ENGINE, INSTANCE OF, SHUT DOWN>","<ENGINE, HAS CAUSE, SURGING IN FLIGHT>
<ENGINE, HAS CAUSE, FUEL CONTAMINATION>
<ENGINE, INSTANCE OF, SHUT DOWN>"
19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,"<ELECTRICAL EMERGENCY, FOLLOWED BY, JUMP START>
<LANDING GEAR, COLLAPSED, TOUCHDOWN>","<ELECTRICAL EMERGENCY, FOLLOWED BY, JUMP START>
<LANDING GEAR, COLLAPSED, TOUCHDOWN>"
19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ","<PILOT, HAS CAUSE, LOST DIRECTIONAL CONTROL>
<LOST DIRECTIONAL CONTROL, FOLLOWED BY, TOUCHDOWN>
<BRAKES, HAS CAUSE, WORN OUT>
<BRAKES, HAS CAUSE, EMPTY>
<BRAKE RESERVOIR, PART OF, BRAKES>","<PILOT, HAS CAUSE, LOST DIRECTIONAL CONTROL>
<LOST DIRECTIONAL CONTROL, FOLLOWED BY, TOUCHDOWN>
<BRAKES, HAS CAUSE, WORN OUT>
<BRAKES, HAS CAUSE, EMPTY>
<BRAKE RESERVOIR, PART OF, BRAKES>"
19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","<PILOT, USED BY, FUEL CAPS>
<FUEL CAPS, HAS EFFECT, LOST FUEL IN FLIGHT>
<FUEL CAPS, HAS CAUSE, FUEL LEAK>
<AIRCRAFT, HAS EFFECT, RAN OUT>
<AIRCRAFT, TIME PERIOD, LANDED FOR FUEL>","<PILOT, USED BY, FUEL CAPS>
<FUEL CAPS, HAS EFFECT, LOST FUEL IN FLIGHT>
<FUEL CAPS, HAS CAUSE, FUEL LEAK>
<AIRCRAFT, HAS EFFECT, RAN OUT>
<AIRCRAFT, TIME PERIOD, LANDED FOR FUEL>"
19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ","<AIRCRAFT LIGHT, DIMMING, NIGHT FLIGHT>
<PILOT, NOTED, AIRCRAFT LIGHT DIMMING>
<PILOT, RETURNED, GEAR HANDLE DOWN>
<GEAR HANDLE, DOWN, GEAR COLLAPSED>
<GEAR COLLAPSED, ON, TOUCHDOWN>","<AIRCRAFT LIGHT, DIMMING, NIGHT FLIGHT>
<PILOT, NOTED, AIRCRAFT LIGHT DIMMING>
<PILOT, RETURNED, GEAR HANDLE DOWN>
<GEAR HANDLE, DOWN, GEAR COLLAPSED>
<GEAR COLLAPSED, ON, TOUCHDOWN>"
19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,"<PILOT, HAS CAUSE, BRAKE FAILURE>
<PILOT, EVENT DISTANCE, DITCH>
<SYSTEM, HAS CAUSE, BRAKE FAILURE>
<SYSTEM, HAS EFFECT, PURGED OF AIR>","<PILOT, HAS CAUSE, BRAKE FAILURE>
<PILOT, EVENT DISTANCE, DITCH>
<SYSTEM, HAS CAUSE, BRAKE FAILURE>
<SYSTEM, HAS EFFECT, PURGED OF AIR>"
19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"<BOLT, PART OF, NOSE GEAR SCISSORS>
<BOLT, EVENT DISTANCE, TAKEOFF>
<NOSE WHEEL, EVENT DISTANCE, LIFTOFF>
<NOSE WHEEL, HAS EFFECT, DROPPED OUT>","<BOLT, PART OF, NOSE GEAR SCISSORS>
<BOLT, EVENT DISTANCE, TAKEOFF>
<NOSE WHEEL, EVENT DISTANCE, LIFTOFF>
<NOSE WHEEL, HAS EFFECT, DROPPED OUT>"
19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,"<ENGINE, HAS CAUSE, WATER CONTAMINATION>
<ENGINE, PART OF, FUEL SYSTEM>
<ENGINE, EVENT DISTANCE, FINAL APPROACH>","<ENGINE, HAS CAUSE, WATER CONTAMINATION>
<ENGINE, PART OF, FUEL SYSTEM>
<ENGINE, EVENT DISTANCE, FINAL APPROACH>"
19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,"<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>
<ENGINE, TIME PERIOD, AFTER LIFT OFF>","<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>
<ENGINE, TIME PERIOD, AFTER LIFT OFF>"
19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ","<PILOT, HAS CAUSE, LOST ELECTRICAL POWER>
<LOST ELECTRICAL POWER, HAS EFFECT, EXTENDED GEAR MANUALLY>
<EXTENDED GEAR MANUALLY, HAS EFFECT, GEAR COLLAPSED>
<GEAR COLLAPSED, HAS CAUSE, BOTH GENERATOR ARMATURES EXTREMELY GALLED>","<PILOT, HAS CAUSE, LOST ELECTRICAL POWER>
<LOST ELECTRICAL POWER, HAS EFFECT, EXTENDED GEAR MANUALLY>
<EXTENDED GEAR MANUALLY, HAS EFFECT, GEAR COLLAPSED>
<GEAR COLLAPSED, HAS CAUSE, BOTH GENERATOR ARMATURES EXTREMELY GALLED>"
19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,"<GEAR, PART OF, ROLLOUT>
<PILOT, USED BY, EMERGENCY GEAR EXTENSION>
<PILOT, HAS CAUSE, ELECTRICAL FAILURE>
<FAILED TO USE EMERGENCY GEAR EXTENSION, HAS CAUSE, ELECTRICAL FAILURE>","<GEAR, PART OF, ROLLOUT>
<PILOT, USED BY, EMERGENCY GEAR EXTENSION>
<PILOT, HAS CAUSE, ELECTRICAL FAILURE>
<FAILED TO USE EMERGENCY GEAR EXTENSION, HAS CAUSE, ELECTRICAL FAILURE>"
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"<NOSE GEAR, PART OF, TAXIWAY>
<NOSE GEAR, HAS EFFECT, HOLE>
<HOLE, COVERED WITH, MUD>
<HOLE, COVERED WITH, LOOSE GRAVEL>","<NOSE GEAR, PART OF, TAXIWAY>
<NOSE GEAR, HAS EFFECT, HOLE>
<HOLE, COVERED WITH, MUD>
<HOLE, COVERED WITH, LOOSE GRAVEL>"
19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,"<ENGINE QUIT, HAS EFFECT, LANDED SHORT OF RUNWAY>
<WATER IN FUEL, HAS EFFECT, FOUND>
<SHORT FINAL, FOLLOWED BY, LANDED SHORT OF RUNWAY>","<ENGINE QUIT, HAS EFFECT, LANDED SHORT OF RUNWAY>
<WATER IN FUEL, HAS EFFECT, FOUND>
<SHORT FINAL, FOLLOWED BY, LANDED SHORT OF RUNWAY>"
19780403009389I,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,"<FORCED LANDING, HAS CAUSE, ENGINE LOST POWER>
<FORCED LANDING, LOCATION, HIGHWAY>
<FOUND FUEL GASOLATOR, HAS EFFECT, CONTAMINATED>","<FORCED LANDING, HAS CAUSE, ENGINE LOST POWER>
<FORCED LANDING, LOCATION, HIGHWAY>
<FOUND FUEL GASOLATOR, HAS EFFECT, CONTAMINATED>"
19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ","<PILOT, USED BY, ELECTRICAL FAILURE>
<GEAR, HAS EFFECT, COLLAPSED>
<GEAR, FOLLOWED BY, TOUCHDOWN>","<PILOT, USED BY, ELECTRICAL FAILURE>
<GEAR, HAS EFFECT, COLLAPSED>
<GEAR, FOLLOWED BY, TOUCHDOWN>"
19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ","<PILOT, USED BY, CARB>
<CARB, HAS CAUSE, COULD NOT TURN IT OFF>
<ENGINE, HAS CAUSE, STOPPED>
<CONTROL VALVE, FOUND, STUCK>
<CONTROL VALVE, CAUSE, ICE>
<CONTROL VALVE, POSITION, 1/2 OPEN>","<PILOT, USED BY, CARB>
<CARB, HAS CAUSE, COULD NOT TURN IT OFF>
<ENGINE, HAS CAUSE, STOPPED>
<CONTROL VALVE, FOUND, STUCK>
<CONTROL VALVE, CAUSE, ICE>
<CONTROL VALVE, POSITION, 1/2 OPEN>"
19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,"<WATER IN FUEL, HAS CAUSE, ENGINE QUIT>
<ENGINE QUIT, TIME PERIOD, TAKEOFF>
<DAMAGE TO GEAR, HAS CAUSE, PLANE HIT TAXIWAY LIP>
<DAMAGE TO GEAR, EVENT DISTANCE, AFTER LANDING>","<WATER IN FUEL, HAS CAUSE, ENGINE QUIT>
<ENGINE QUIT, TIME PERIOD, TAKEOFF>
<DAMAGE TO GEAR, HAS CAUSE, PLANE HIT TAXIWAY LIP>
<DAMAGE TO GEAR, EVENT DISTANCE, AFTER LANDING>"
19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,"<ENGINE, HAS CAUSE, VACUUM IN THE TANK>
<PILOT, USED BY, A NON-VENTED CAP>
<RIGHT TANK, HAS EFFECT, FUEL LEAK>
<FUEL LEAK, HAS CAUSE, RIGHT TANK WAS NOT FUELED>","<ENGINE, HAS CAUSE, VACUUM IN THE TANK>
<PILOT, USED BY, A NON-VENTED CAP>
<RIGHT TANK, HAS EFFECT, FUEL LEAK>
<FUEL LEAK, HAS CAUSE, RIGHT TANK WAS NOT FUELED>"
19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,"<PLT, AWARE OF, FULL NOSE DOWN TRIM>
<PLT, FORCE RQD FOR, 45LBS>
<PLT, LVL FLT, 0.10>
<PLT, SPEC, LIVER>","<PLT, AWARE OF, FULL NOSE DOWN TRIM>
<PLT, FORCE RQD FOR, 45LBS>
<PLT, LVL FLT, 0.10>
<PLT, SPEC, LIVER>"
19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","<FORCED LANDING, HAS CAUSE, OIL LEAK>
<FORCED LANDING, HAS EFFECT, FOUND LOOSE OIL CAP>","<FORCED LANDING, HAS CAUSE, OIL LEAK>
<FORCED LANDING, HAS EFFECT, FOUND LOOSE OIL CAP>"
19780525040389I,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,"<BRAKES, HAS EFFECT, INEFFECTIVE LANDING>
<BRAKES, FOLLOWED BY, RAN FENCE>","<BRAKES, HAS EFFECT, INEFFECTIVE LANDING>
<BRAKES, FOLLOWED BY, RAN FENCE>"
19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,"<FLIGHT, TIME PERIOD, BEFORE REPAIRS WERE COMPLETED>
<FLIGHT, HAS CAUSE, MAG FAILURE>
<PILOTS, USED BY, FLIGHT>","<FLIGHT, TIME PERIOD, BEFORE REPAIRS WERE COMPLETED>
<FLIGHT, HAS CAUSE, MAG FAILURE>
<PILOTS, USED BY, FLIGHT>"
19780520014159A,GUSTING TO 30K.                                                                                                    ,"<GUSTING TO 30K, EVENT DISTANCE, ?>","<GUSTING TO 30K, EVENT DISTANCE, ?>"
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,"<FAILURE, HAS CAUSE, FAILURE OF 2 TIRES>
<FAILURE, TIME PERIOD, AIRCRAFT WAS CLEARED FOR TAKEOFF>","<FAILURE, HAS CAUSE, FAILURE OF 2 TIRES>
<FAILURE, TIME PERIOD, AIRCRAFT WAS CLEARED FOR TAKEOFF>"
19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,"<FUEL CAP, PART OF, AIRCRAFT>
<SUMPS, HAS EFFECT, WATER IN FUEL>
<ENGINE, HAS CAUSE, ENGINE QUIT>
<AIRCRAFT, LOCATION, FREEWAY>","<FUEL CAP, PART OF, AIRCRAFT>
<SUMPS, HAS EFFECT, WATER IN FUEL>
<ENGINE, HAS CAUSE, ENGINE QUIT>
<AIRCRAFT, LOCATION, FREEWAY>"
19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,"<UNSCHEDULED LANDING, HAS CAUSE, OIL COMING FROM ENGINES>
<UNSCHEDULED LANDING, HAS CAUSE, BOTH OIL CAPS NOT LOCKED PROPERLY>","<UNSCHEDULED LANDING, HAS CAUSE, OIL COMING FROM ENGINES>
<UNSCHEDULED LANDING, HAS CAUSE, BOTH OIL CAPS NOT LOCKED PROPERLY>"
19780503031639I,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,"<PILOT, HAS CAUSE, FAULTY GEAR ACTUATOR>
<FAULTY GEAR ACTUATOR, HAS EFFECT, UNABLE TO EXTEND GEAR>","<PILOT, HAS CAUSE, FAULTY GEAR ACTUATOR>
<FAULTY GEAR ACTUATOR, HAS EFFECT, UNABLE TO EXTEND GEAR>"
19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","<DOOR, HAS EFFECT, PILOT LOST CONTROL>
<DOOR, EVENT DISTANCE, RAN OFF SIDE OF RUNWAY>
<PILOT, INFLUENCED BY, DOOR POPPED OPEN>","<DOOR, HAS EFFECT, PILOT LOST CONTROL>
<DOOR, EVENT DISTANCE, RAN OFF SIDE OF RUNWAY>
<PILOT, INFLUENCED BY, DOOR POPPED OPEN>"
19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,"<ENGINE FIRE, HAS CAUSE, BIRDS NEST>","<ENGINE FIRE, HAS CAUSE, BIRDS NEST>"
19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,"<ENGINE, HAS CAUSE, BACKFIRED>
<ENGINE, HAS CAUSE, QUIT>
<ENGINE, TIME PERIOD, THIRD TOUCH AND GO>
<ENGINE, HAS EFFECT, LANDED STRAIGHT AHEAD>
<ENGINE, HAS EFFECT, WATER IN FUEL>","<ENGINE, HAS CAUSE, BACKFIRED>
<ENGINE, HAS CAUSE, QUIT>
<ENGINE, TIME PERIOD, THIRD TOUCH AND GO>
<ENGINE, HAS EFFECT, LANDED STRAIGHT AHEAD>
<ENGINE, HAS EFFECT, WATER IN FUEL>"
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,"<JETWAY, PART OF, AIRCRAFT>
<JETWAY, LOCATION, PARKING AREA>
<AIRCRAFT, ACTION, TAXIIED>","<JETWAY, PART OF, AIRCRAFT>
<JETWAY, LOCATION, PARKING AREA>
<AIRCRAFT, ACTION, TAXIIED>"
19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,"<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, EVENT DISTANCE, TAKEOFF>
<FUEL, HAS EFFECT, WATER>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, EVENT DISTANCE, TAKEOFF>
<FUEL, HAS EFFECT, WATER>"
19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,"<PILOT, USED BY, PILOT>
<PILOT, HAS EFFECT, GEAR RETRACTED>
<GEAR HANDLE, LOCATION, UP POSITION>
<GEAR HANDLE, MAINTAINED BY, HYDRAULIC SYSTEM>
<HYDRAULIC SYSTEM, HAS EFFECT, GEAR RETRACTED>","<PILOT, USED BY, PILOT>
<PILOT, HAS EFFECT, GEAR RETRACTED>
<GEAR HANDLE, LOCATION, UP POSITION>
<GEAR HANDLE, MAINTAINED BY, HYDRAULIC SYSTEM>
<HYDRAULIC SYSTEM, HAS EFFECT, GEAR RETRACTED>"
19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","<HOME-BUILT, PART OF, PILOT>
<PILOT, USED BY, AILERON CONTROLS>","<HOME-BUILT, PART OF, PILOT>
<PILOT, USED BY, AILERON CONTROLS>"
19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,"<ENGINE, HAS CAUSE, SPUTTERED AND QUIT>
<ENGINE, TIME PERIOD, CRUISE>
<ENGINE, LOCATION, MARSHY AREA>
<ENGINE, HAS EFFECT, TIPPED UP ON NOSE>
<ENGINE, HAS EFFECT, WATER IN FUEL>","<ENGINE, HAS CAUSE, SPUTTERED AND QUIT>
<ENGINE, TIME PERIOD, CRUISE>
<ENGINE, LOCATION, MARSHY AREA>
<ENGINE, HAS EFFECT, TIPPED UP ON NOSE>
<ENGINE, HAS EFFECT, WATER IN FUEL>"
19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,"<LOGGING OPNS, MAINTAINED BY, L SKID>","<LOGGING OPNS, MAINTAINED BY, L SKID>"
19780603041599I,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ","<FLOAT PLANE, INSTANCE OF, PLANE>
<FLOAT PLANE, PART OF, FLOATS>
<FLOATS, HAS EFFECT, SANK>
<FLOATS, HAS CAUSE, WATER IN FLOATS>
<BALL COVERS, HAS EFFECT, GONE>","<FLOAT PLANE, INSTANCE OF, PLANE>
<FLOAT PLANE, PART OF, FLOATS>
<FLOATS, HAS EFFECT, SANK>
<FLOATS, HAS CAUSE, WATER IN FLOATS>
<BALL COVERS, HAS EFFECT, GONE>"
19780603041629I,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,"<FLOAT STRUT, PART OF, AIRPLANE STRUCTURE>
<FLOAT STRUT, HAS EFFECT, COLLAPSED>
<COLLAPSED, TIME PERIOD, TAKEOFF RUN>
<COLLAPSED, CAUSED BY, PREVIOUS HARD LANDING>
<PILOT, USED BY, WIRED TO A BRACE>","<FLOAT STRUT, PART OF, AIRPLANE STRUCTURE>
<FLOAT STRUT, HAS EFFECT, COLLAPSED>
<COLLAPSED, TIME PERIOD, TAKEOFF RUN>
<COLLAPSED, CAUSED BY, PREVIOUS HARD LANDING>
<PILOT, USED BY, WIRED TO A BRACE>"
19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,"<TANK DRAIN VALVE, PARTIALLY OPEN, SPRING LOADED>
<HELICOPTER, RAN OUT OF FUEL, FUEL>","<TANK DRAIN VALVE, PARTIALLY OPEN, SPRING LOADED>
<HELICOPTER, RAN OUT OF FUEL, FUEL>"
19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,"<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>","<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>"
