c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19810912058779A,AIRCRAFT WHEEL HIT HOLE IN RUNWAY SHEARING OFF GEAR AND CAUSING AIRCRAFT TO VEER OFF RUNWAY.                       ,"<AIRCRAFT WHEEL, HAS CAUSE, HOLE IN RUNWAY>
<HOLE IN RUNWAY, HAS EFFECT, SHEARING OFF GEAR>
<SHEARING OFF GEAR, HAS EFFECT, AIRCRAFT TO VEER OFF RUNWAY>","<AIRCRAFT, HAS CAUSE, SHEARING OFF GEAR>
<AIRCRAFT, HAS CAUSE, VEERING OFF RUNWAY>","<AIRCRAFT WHEEL, HAS CAUSE, HOLE IN RUNWAY>
<HOLE IN RUNWAY, HAS EFFECT, SHEARING OFF GEAR>
<SHEARING OFF GEAR, HAS EFFECT, AIRCRAFT TO VEER OFF RUNWAY>","<AIRCRAFT, HAS CAUSE, SHEARING OFF GEAR>
<AIRCRAFT, HAS CAUSE, VEERING OFF RUNWAY>"
19810910058419A,"AFTER ENGINE STARTED RUNNING ROUGH ON APPROACH, PILOT LANDED SHORT OF RUNWAY. ENGINE WAS NOT FEATHERED.            ","<ENGINE, HAS CAUSE, RANOUGH ON APPROACH>
<PILOT, USED BY, ENGINE>
<PILOT, EVENT DISTANCE, RUNWAY>
<ENGINE, HAS EFFECT, LANDED SHORT>","<ENGINE, HAS CAUSE, LANDED SHORT OF RUNWAY>
<ENGINE, HAS CAUSE, NOT FEATHERED>","<ENGINE, HAS CAUSE, RANOUGH ON APPROACH>
<PILOT, USED BY, ENGINE>
<PILOT, EVENT DISTANCE, RUNWAY>
<ENGINE, HAS EFFECT, LANDED SHORT>","<ENGINE, HAS CAUSE, LANDED SHORT OF RUNWAY>
<ENGINE, HAS CAUSE, NOT FEATHERED>"
19810907057119A,TRIED TO TAKE OFF WITH LONG LINE AND BUCKET ATTACHED. CAUGHT ON TRUCK. SLAMMED HELICOPTER INTO GROUND.             ,"<LONG LINE AND BUCKET, ATTACHED TO, HELICOPTER>
<HELICOPTER, CAUGHT ON, TRUCK>
<HELICOPTER, SLAMMED INTO, GROUND>","<TRUCK, CAUGHT ON, HELICOPTER>
<HELICOPTER, SLAMMED INTO, GROUND>","<LONG LINE AND BUCKET, ATTACHED TO, HELICOPTER>
<HELICOPTER, CAUGHT ON, TRUCK>
<HELICOPTER, SLAMMED INTO, GROUND>","<TRUCK, CAUGHT ON, HELICOPTER>
<HELICOPTER, SLAMMED INTO, GROUND>"
19810911069739I,#2 ENGINE FLAMED OUT. FOUND RT WING FUEL TANK DRY ALSO RIGHT INBOARD FUEL PROBE READING 375 POUNDS WHEN TANK EMPTY.,"<ENGINE, HAS CAUSE, FLAMED OUT>
<RT WING FUEL TANK, INSTANCE OF, DRY>
<RIGHT INBOARD FUEL PROBE, READING, 375 POUNDS>
<FUEL TANK, EMPTY, 375 POUNDS>","<ENGINE FLAMED OUT, CAUSE, WING FUEL TANK DRY>
<ENGINE FLAMED OUT, CAUSE, RIGHT INBOARD FUEL PROBE READING 375 POUNDS>
<RIGHT INBOARD FUEL PROBE, MEASURE, 375 POUNDS>","<ENGINE, HAS CAUSE, FLAMED OUT>
<RT WING FUEL TANK, INSTANCE OF, DRY>
<RIGHT INBOARD FUEL PROBE, READING, 375 POUNDS>
<FUEL TANK, EMPTY, 375 POUNDS>","<ENGINE FLAMED OUT, CAUSE, WING FUEL TANK DRY>
<ENGINE FLAMED OUT, CAUSE, RIGHT INBOARD FUEL PROBE READING 375 POUNDS>
<RIGHT INBOARD FUEL PROBE, MEASURE, 375 POUNDS>"
19810912069639A,FIRST FLIGHT OF AIRCRAFT RESULTED IN CRASH. AIRCRAFT HAD EXPERIENCED TAIL FLUTTER DURING PREVIOUS TESTS.           ,"<FIRST FLIGHT OF AIRCRAFT, HAS CAUSE, CRASH>
<AIRCRAFT, INSTANCE OF, FLIGHT>
<AIRCRAFT, HAS EFFECT, TAIL FLUTTER>
<TAIL FLUTTER, FOLLOWED BY, PREVIOUS TESTS>","<FIRST FLIGHT OF AIRCRAFT, RESULTED IN, CRASH>
<TAIL FLUTTER, EXPERIENCED BY, AIRCRAFT>","<FIRST FLIGHT OF AIRCRAFT, HAS CAUSE, CRASH>
<AIRCRAFT, INSTANCE OF, FLIGHT>
<AIRCRAFT, HAS EFFECT, TAIL FLUTTER>
<TAIL FLUTTER, FOLLOWED BY, PREVIOUS TESTS>","<FIRST FLIGHT OF AIRCRAFT, RESULTED IN, CRASH>
<TAIL FLUTTER, EXPERIENCED BY, AIRCRAFT>"
19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,"<SLING LOAD, USED BY, ELECTRICAL SWITCH>
<SLING LOAD, USED BY, MECHANICAL RELEASE>
<ELECTRICAL SWITCH, HAS CAUSE, FAILED>
<MECHANICAL RELEASE, HAS CAUSE, FAILED>","<PILOT, USED BY, ELECTRICAL SWITCH>
<PILOT, USED BY, MECHANICAL RELEASE>
<PILOT, FAILED TO, RELEASE SLING LOAD WITH ELECTRICAL SWITCH>
<PILOT, FAILED TO, USE MECHANICAL RELEASE>","<SLING LOAD, USED BY, ELECTRICAL SWITCH>
<SLING LOAD, USED BY, MECHANICAL RELEASE>
<ELECTRICAL SWITCH, HAS CAUSE, FAILED>
<MECHANICAL RELEASE, HAS CAUSE, FAILED>","<PILOT, USED BY, ELECTRICAL SWITCH>
<PILOT, USED BY, MECHANICAL RELEASE>
<PILOT, FAILED TO, RELEASE SLING LOAD WITH ELECTRICAL SWITCH>
<PILOT, FAILED TO, USE MECHANICAL RELEASE>"
19810913058939A,PILOT ATTEMPTED TAKEOFF WITH FLAPS. AIRCRAFT REACHED 200 TO 300 FEET THEN CRASHED OFF AIRPORT.                     ,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, EVENT DISTANCE, 200 TO 300 FEET>
<AIRCRAFT, HAS EFFECT, CRASHED>
<CRASHED, LOCATION, AIRPORT>","<PILOT ATTEMPTED TAKEOFF, REACHED, 200 TO 300 FEET>
<PILOT ATTEMPTED TAKEOFF, CRASHED, OFF AIRPORT>
<FLAPS, USED BY, PILOT>","<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, EVENT DISTANCE, 200 TO 300 FEET>
<AIRCRAFT, HAS EFFECT, CRASHED>
<CRASHED, LOCATION, AIRPORT>","<PILOT ATTEMPTED TAKEOFF, REACHED, 200 TO 300 FEET>
<PILOT ATTEMPTED TAKEOFF, CRASHED, OFF AIRPORT>
<FLAPS, USED BY, PILOT>"
19811217000399A,"PILOT ATTEMPTED TAKEOFF WITH HEAVY FROST ON AIRCRAFT. AIRCRAFT CLIMBED BRIEFLY, THEN CRASHED.                      ","<TAKEOFF, HAS CAUSE, HEAVY FROST>
<AIRCRAFT, INSTANCE OF, AIRCRAFT>
<CRASHED, FOLLOWED BY, >","<PILOT ATTEMPTED TAKEOFF, HAS EFFECT, AIRCRAFT CLIMBED BRIEFLY>
<PILOT ATTEMPTED TAKEOFF, HAS EFFECT, AIRCRAFT CRASHED>
<HEAVY FROST, HAS CAUSE, AIRCRAFT CLIMBED BRIEFLY>
<HEAVY FROST, HAS CAUSE, AIRCRAFT CRASHED>","<TAKEOFF, HAS CAUSE, HEAVY FROST>
<AIRCRAFT, INSTANCE OF, AIRCRAFT>
<CRASHED, FOLLOWED BY, >","<PILOT ATTEMPTED TAKEOFF, HAS EFFECT, AIRCRAFT CLIMBED BRIEFLY>
<PILOT ATTEMPTED TAKEOFF, HAS EFFECT, AIRCRAFT CRASHED>
<HEAVY FROST, HAS CAUSE, AIRCRAFT CLIMBED BRIEFLY>
<HEAVY FROST, HAS CAUSE, AIRCRAFT CRASHED>"
19820208001709I,AIRCRAFT TOW BAR BROKE AND AIRCRAFT OVERRAN TUG WHILE BEING TOWED TO GATE.                                         ,"<AIRCRAFT TOW BAR, BROKE, AIRCRAFT>
<AIRCRAFT, OVERRAN, TUG>
<AIRCRAFT, FOLLOWED BY, GATE>","<TOW BAR, CAUSE, AIRCRAFT OVERRAN TUG>
<TOW BAR, USED BY, AIRCRAFT TOWING TO GATE>","<AIRCRAFT TOW BAR, BROKE, AIRCRAFT>
<AIRCRAFT, OVERRAN, TUG>
<AIRCRAFT, FOLLOWED BY, GATE>","<TOW BAR, CAUSE, AIRCRAFT OVERRAN TUG>
<TOW BAR, USED BY, AIRCRAFT TOWING TO GATE>"
19820216011739I,UNABLE TO RETRACT NOSE GEAR. RETURNED AND MADE AN OVERWEIGHT LANDING. NOSE GEAR SAFETY PIN NOT REMOVED.            ,"<NOSE GEAR, INSTANCE OF, PROBLEM>
<NOSE GEAR, HAS EFFECT, OVERWEIGHT LANDING>
<SAFETY PIN, NOT REMOVED, NOSE GEAR>","<NOSE GEAR, SAFETY PIN, NOT REMOVED>","<NOSE GEAR, INSTANCE OF, PROBLEM>
<NOSE GEAR, HAS EFFECT, OVERWEIGHT LANDING>
<SAFETY PIN, NOT REMOVED, NOSE GEAR>","<NOSE GEAR, SAFETY PIN, NOT REMOVED>"
19811203078469A,"LOW BATTERY. HAND TURNED PROP TO POSITION STARTER. ENGINE STARTED. UNCHOCKED AIRPLANE, RAN INTO TOWER BUILDING.    ","<LOW BATTERY, HAS CAUSE, HAND TURNED PROP TO POSITION STARTER>
<HAND TURNED PROP TO POSITION STARTER, HAS CAUSE, ENGINE STARTED>
<ENGINE STARTED, FOLLOWED BY, UNCHOCKED AIRPLANE>
<UNCHOCKED AIRPLANE, FOLLOWED BY, RAN INTO TOWER BUILDING>","<UNCHOCKED AIRPLANE, EVENT DISTANCE, TOWER BUILDING>","<LOW BATTERY, HAS CAUSE, HAND TURNED PROP TO POSITION STARTER>
<HAND TURNED PROP TO POSITION STARTER, HAS CAUSE, ENGINE STARTED>
<ENGINE STARTED, FOLLOWED BY, UNCHOCKED AIRPLANE>
<UNCHOCKED AIRPLANE, FOLLOWED BY, RAN INTO TOWER BUILDING>","<UNCHOCKED AIRPLANE, EVENT DISTANCE, TOWER BUILDING>"
19811230088309I,INADVERTENTLY DEPLOYED FLOATATION BAGS ON TAKEOFF. RETURNED. SWITCH IN ARMED POSITION. REVISED CHECKLIST.          ,"<FLOATATION BAGS, DEPLOYED BY, INADVERTENTLY>
<FLOATATION BAGS, EVENT DISTANCE, TAKOFF>
<FLOATATION BAGS, HAS EFFECT, RETURNED>
<CHECKLIST, REVISED BY, PILOT>","<INADVERTENTLY DEPLOYED FLOATATION BAGS, RETURNED, TAKEOFF>
<RETURNED, REVISED CHECKLIST, TAKEOFF>
<SWITCH IN ARMED POSITION, REVISED CHECKLIST, TAKEOFF>","<FLOATATION BAGS, DEPLOYED BY, INADVERTENTLY>
<FLOATATION BAGS, EVENT DISTANCE, TAKOFF>
<FLOATATION BAGS, HAS EFFECT, RETURNED>
<CHECKLIST, REVISED BY, PILOT>","<INADVERTENTLY DEPLOYED FLOATATION BAGS, RETURNED, TAKEOFF>
<RETURNED, REVISED CHECKLIST, TAKEOFF>
<SWITCH IN ARMED POSITION, REVISED CHECKLIST, TAKEOFF>"
19820211005489I,"AFTER TAKEOFF, GEAR REFUSED TO RETRACT. LEFT GEAR STRUT WAS FLAT FROM LOOSE VALVE AND SQUAT SWITCH STAYED CLOSED.  ","<GEAR, FOLLOWED BY, TAKEOFF>
<GEAR, HAS EFFECT, GEAR REFUSED TO RETRACT>
<LEFT GEAR STRUT, HAS CAUSE, LOOSE VALVE>
<LEFT GEAR STRUT, HAS CAUSE, SQUAT SWITCH STAYED CLOSED>","<TAKEOFF, EVENT DISTANCE, GEAR REFUSED TO RETRACT>
<LEFT GEAR STRUT, CONDITION, FLAT FROM LOOSE VALVE>
<SQUAT SWITCH, CONDITION, STAYED CLOSED>","<GEAR, FOLLOWED BY, TAKEOFF>
<GEAR, HAS EFFECT, GEAR REFUSED TO RETRACT>
<LEFT GEAR STRUT, HAS CAUSE, LOOSE VALVE>
<LEFT GEAR STRUT, HAS CAUSE, SQUAT SWITCH STAYED CLOSED>","<TAKEOFF, EVENT DISTANCE, GEAR REFUSED TO RETRACT>
<LEFT GEAR STRUT, CONDITION, FLAT FROM LOOSE VALVE>
<SQUAT SWITCH, CONDITION, STAYED CLOSED>"
19820221008579I,PILOT PLACED LANDING GEAR SWITCH DOWN. FAILED TO CHECK GREEN LIGHTS AND LANDED GEAR UP. FOUND ALTERNATOR SWITCH OFF,"<LANDING GEAR SWITCH, PLACED BY, PILOT>
<LANDING GEAR SWITCH, HAS EFFECT, FAILED TO CHECK GREEN LIGHTS>
<LANDING GEAR SWITCH, HAS EFFECT, LANDED GEAR UP>
<ALTERNATOR SWITCH, PLACED BY, PILOT>
<ALTERNATOR SWITCH, HAS CAUSE, FAILED>","<PILOT, HAS CAUSE, LANDED GEAR UP>
<PILOT, HAS CAUSE, ALTERNATOR SWITCH OFF>","<LANDING GEAR SWITCH, PLACED BY, PILOT>
<LANDING GEAR SWITCH, HAS EFFECT, FAILED TO CHECK GREEN LIGHTS>
<LANDING GEAR SWITCH, HAS EFFECT, LANDED GEAR UP>
<ALTERNATOR SWITCH, PLACED BY, PILOT>
<ALTERNATOR SWITCH, HAS CAUSE, FAILED>","<PILOT, HAS CAUSE, LANDED GEAR UP>
<PILOT, HAS CAUSE, ALTERNATOR SWITCH OFF>"
19820204001319I,ZA PILOT TOOK OFF WITH GEAR PINS STILL IN. RETURNED TO AIRPORT AND HAD THEM REMOVED.                               ,"<PILOT, USED BY, GEAR PINS>
<GEAR PINS, PART OF, PILOT>
<PILOT, LOCATION, AIRPORT>","<ZA PILOT, HAS CAUSE, GEAR PINS STILL IN>
<ZA PILOT, EVENT DISTANCE, RETURNED TO AIRPORT>
<ZA PILOT, HAS EFFECT, GEAR PINS REMOVED>","<PILOT, USED BY, GEAR PINS>
<GEAR PINS, PART OF, PILOT>
<PILOT, LOCATION, AIRPORT>","<ZA PILOT, HAS CAUSE, GEAR PINS STILL IN>
<ZA PILOT, EVENT DISTANCE, RETURNED TO AIRPORT>
<ZA PILOT, HAS EFFECT, GEAR PINS REMOVED>"
19820127008389I,PILOT TOOK OF WITH TOW BAR ATTACHED. PROP HIT TOW BAR WHEN GEAR WAS RETRACTED. MADE SAFE LANDING.                  ,"<PILOT, USED BY, TOW BAR>
<PROP, HAS CAUSE, GEAR WAS RETRACTED>
<MADE SAFE LANDING, HAS EFFECT, >","<PILOT, USED BY, TOW BAR>
<PROP, HAS EFFECT, TOW BAR>
<PROP, HAS EFFECT, GEAR>","<PILOT, USED BY, TOW BAR>
<PROP, HAS CAUSE, GEAR WAS RETRACTED>
<MADE SAFE LANDING, HAS EFFECT, >","<PILOT, USED BY, TOW BAR>
<PROP, HAS EFFECT, TOW BAR>
<PROP, HAS EFFECT, GEAR>"
19820108003389I,ORDERED APU DISCONNECT. BEGAN TAXI WITH APU STILL ATTACHED. APU CAUGHT FIRE. COMPANY ACTION AGAINST CREW.          ,"<APU, INSTANCE OF, DISCONNECT>
<APU, HAS CAUSE, FIRE>
<FIRE, HAS EFFECT, COMPANY ACTION>
<COMPANY ACTION, FOLLOWED BY, ACTION AGAINST CREW>","<APU, HAS CAUSE, FIRE>
<APU, USED BY, TAXI>
<CREW, HAS EFFECT, COMPANY ACTION AGAINST>","<APU, INSTANCE OF, DISCONNECT>
<APU, HAS CAUSE, FIRE>
<FIRE, HAS EFFECT, COMPANY ACTION>
<COMPANY ACTION, FOLLOWED BY, ACTION AGAINST CREW>","<APU, HAS CAUSE, FIRE>
<APU, USED BY, TAXI>
<CREW, HAS EFFECT, COMPANY ACTION AGAINST>"
19820202005199I,VIBRATION EN ROUTE. DOOR LIGHT CAME ON. TURNING OFF AUTOPILOT LIGHT WENT OFF. BAGGAGE DOOR OPEN. LOST LUGGAGE.     ,"<VIBRATION, HAS CAUSE, DOOR LIGHT CAME ON>
<DOOR LIGHT CAME ON, HAS CAUSE, TURNING OFF AUTOPILOT LIGHT WENT OFF>
<BAGGAGE DOOR OPEN, HAS EFFECT, LOST LUGGAGE>
<LOST LUGGAGE, EVENT DISTANCE, EN ROUTE>","<DOOR LIGHT, EVENT DISTANCE, VIBRATION EN ROUTE>
<TURNING OFF AUTOPILOT LIGHT, EVENT DISTANCE, BAGGAGE DOOR OPEN>
<LUGGAGE, HAS EFFECT, LOST LUGGAGE>","<VIBRATION, HAS CAUSE, DOOR LIGHT CAME ON>
<DOOR LIGHT CAME ON, HAS CAUSE, TURNING OFF AUTOPILOT LIGHT WENT OFF>
<BAGGAGE DOOR OPEN, HAS EFFECT, LOST LUGGAGE>
<LOST LUGGAGE, EVENT DISTANCE, EN ROUTE>","<DOOR LIGHT, EVENT DISTANCE, VIBRATION EN ROUTE>
<TURNING OFF AUTOPILOT LIGHT, EVENT DISTANCE, BAGGAGE DOOR OPEN>
<LUGGAGE, HAS EFFECT, LOST LUGGAGE>"
19811105071899A,"WARPED LOOSE FUEL CAPS ALLOWED FUEL SIPHONING AND CELL COLLAPSE. ENGINE QUIT, OUT OF FUEL. NIGHT CRASH LANDED.     ","<FUEL CAPS, ALLOWED, FUEL SIPHONING>
<FUEL CAPS, ALLOWED, CELL COLLAPSE>
<ENGINE QUIT, HAS CAUSE, FUEL SIPHONING>
<ENGINE QUIT, HAS CAUSE, CELL COLLAPSE>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>
<CRASH LANDED, FOLLOWED BY, ENGINE QUIT>
<CRASH LANDED, TIME PERIOD, NIGHT>","<FUEL CAPS, ALLOWED, FUEL SIPHONING>
<FUEL CAPS, ALLOWED, CELL COLLAPSE>
<FUEL CAPS, CAUSE, ENGINE QUIT>
<FUEL CAPS, CAUSE, OUT OF FUEL>
<NIGHT CRASH, EVENT DISTANCE, LANDED>","<FUEL CAPS, ALLOWED, FUEL SIPHONING>
<FUEL CAPS, ALLOWED, CELL COLLAPSE>
<ENGINE QUIT, HAS CAUSE, FUEL SIPHONING>
<ENGINE QUIT, HAS CAUSE, CELL COLLAPSE>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>
<CRASH LANDED, FOLLOWED BY, ENGINE QUIT>
<CRASH LANDED, TIME PERIOD, NIGHT>","<FUEL CAPS, ALLOWED, FUEL SIPHONING>
<FUEL CAPS, ALLOWED, CELL COLLAPSE>
<FUEL CAPS, CAUSE, ENGINE QUIT>
<FUEL CAPS, CAUSE, OUT OF FUEL>
<NIGHT CRASH, EVENT DISTANCE, LANDED>"
19820106003729I,ENGINE QUIT SHORTLY AFTER TAKEOFF. MADE A FORCED LANDING IN A FIELD. WATER FOUND IN FUEL SYSTEM.                   ,"<ENGINE, HAS CAUSE, TAKEOFF>
<TAKEOFF, HAS EFFECT, FORCED LANDING>
<FORCED LANDING, LOCATION, FIELD>
<WATER, HAS EFFECT, FUEL SYSTEM>","<ENGINE, EVENT DISTANCE, SHORTLY AFTER TAKEOFF>
<ENGINE, EVENT DISTANCE, FORCED LANDING IN A FIELD>
<FUEL SYSTEM, HAS EFFECT, WATER FOUND IN>","<ENGINE, HAS CAUSE, TAKEOFF>
<TAKEOFF, HAS EFFECT, FORCED LANDING>
<FORCED LANDING, LOCATION, FIELD>
<WATER, HAS EFFECT, FUEL SYSTEM>","<ENGINE, EVENT DISTANCE, SHORTLY AFTER TAKEOFF>
<ENGINE, EVENT DISTANCE, FORCED LANDING IN A FIELD>
<FUEL SYSTEM, HAS EFFECT, WATER FOUND IN>"
19811114084749I,PILOT LOST CONTROL AFTER TAKEOFF AND DIVED INTO GROUND WHEN 3X 1/4 A/N BOLT CAME OFF. 3 THREADS WERE STRIPPED.     ,"<PILOT, USED BY, 3X 1/4 A/N BOLT>
<3X 1/4 A/N BOLT, HAS EFFECT, DIVED INTO GROUND>
<3X 1/4 A/N BOLT, INSTANCE OF, 3 THREADS>","<PILOT, LOST CONTROL, TAKEOFF>
<PILOT, DIVED INTO GROUND, 3X 1/4 A/N BOLT>
<3X 1/4 A/N BOLT, CAME OFF, PILOT>
<3 THREADS, STRIPPED, PILOT>","<PILOT, USED BY, 3X 1/4 A/N BOLT>
<3X 1/4 A/N BOLT, HAS EFFECT, DIVED INTO GROUND>
<3X 1/4 A/N BOLT, INSTANCE OF, 3 THREADS>","<PILOT, LOST CONTROL, TAKEOFF>
<PILOT, DIVED INTO GROUND, 3X 1/4 A/N BOLT>
<3X 1/4 A/N BOLT, CAME OFF, PILOT>
<3 THREADS, STRIPPED, PILOT>"
19820131003529A,PILOT CONTINUED FLIGHT INTO ICING CONDITIONS. AIRCRAFT HEAVY WITH ICE DURING LANDING AND GEAR COLLAPSED.           ,"<FLIGHT, FOLLOWED BY, ICING CONDITIONS>
<AIRCRAFT, HAS EFFECT, GEAR COLLAPSED>
<AIRCRAFT, INSTANCE OF, HEAVY WITH ICE>","<PILOT, EVENT DISTANCE, FLIGHT INTO ICING CONDITIONS>
<HEAVY WITH ICE, CONDITION, AIRCRAFT>
<HEAVY WITH ICE, CONDITION, LANDING>
<GEAR, CONDITION, COLLAPSED>","<FLIGHT, FOLLOWED BY, ICING CONDITIONS>
<AIRCRAFT, HAS EFFECT, GEAR COLLAPSED>
<AIRCRAFT, INSTANCE OF, HEAVY WITH ICE>","<PILOT, EVENT DISTANCE, FLIGHT INTO ICING CONDITIONS>
<HEAVY WITH ICE, CONDITION, AIRCRAFT>
<HEAVY WITH ICE, CONDITION, LANDING>
<GEAR, CONDITION, COLLAPSED>"
19820204021779A,HELICOPTER CRASHED DURING TAKEOFF FROM PLATFORM. INVESTIGATION REVEALED REFUELING HOSE WAS NOT DISCONNECTED.       ,"<HELICOPTER CRASHED, EVENT DISTANCE, TAKEOFF>
<HELICOPTER CRASHED, TIME PERIOD, DURING TAKEOFF>
<REFUELING HOSE, WAS NOT DISCONNECTED, HELICOPTER CRASHED>","<CRASH, CAUSED BY, NOT DISCONNECTED REFUELING HOSE>
<CRASH, EVENT DISTANCE, TAKEOFF>
<CRASH, LOCATION, PLATFORM>","<HELICOPTER CRASHED, EVENT DISTANCE, TAKEOFF>
<HELICOPTER CRASHED, TIME PERIOD, DURING TAKEOFF>
<REFUELING HOSE, WAS NOT DISCONNECTED, HELICOPTER CRASHED>","<CRASH, CAUSED BY, NOT DISCONNECTED REFUELING HOSE>
<CRASH, EVENT DISTANCE, TAKEOFF>
<CRASH, LOCATION, PLATFORM>"
19820502025009I,"PILOT FLEW CROSS COUNTRY WITH LOW BATTERY. HAD RADIO TROUBLE, UNABLE TO ACTIVATE RUNWAY LIGHTS, DIVERTED TO LOGAN. ","<PILOT, USED BY, RADIO>
<PILOT, HAS CAUSE, LOW BATTERY>
<PILOT, HAS CAUSE, RADIO TROUBLE>
<PILOT, FOLLOWED BY, DIVERTED TO LOGAN>
<RUNWAY LIGHTS, HAS EFFECT, UNABLE TO ACTIVATE>","<PILOT, USED BY, CROSS COUNTRY>
<PILOT, EVENT DISTANCE, LOW BATTERY>
<PILOT, EVENT DISTANCE, RADIO TROUBLE>
<PILOT, EVENT DISTANCE, UNABLE TO ACTIVATE RUNWAY LIGHTS>
<PILOT, EVENT DISTANCE, DIVERTED TO LOGAN>","<PILOT, USED BY, RADIO>
<PILOT, HAS CAUSE, LOW BATTERY>
<PILOT, HAS CAUSE, RADIO TROUBLE>
<PILOT, FOLLOWED BY, DIVERTED TO LOGAN>
<RUNWAY LIGHTS, HAS EFFECT, UNABLE TO ACTIVATE>","<PILOT, USED BY, CROSS COUNTRY>
<PILOT, EVENT DISTANCE, LOW BATTERY>
<PILOT, EVENT DISTANCE, RADIO TROUBLE>
<PILOT, EVENT DISTANCE, UNABLE TO ACTIVATE RUNWAY LIGHTS>
<PILOT, EVENT DISTANCE, DIVERTED TO LOGAN>"
19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,"<LOOSE COWLING, INSTANCE OF, COWLING>
<COWLING, HAS EFFECT, SEPARATION>
<SEPARATION, FOLLOWED BY, TAKEOFF>
<COWLING, PART OF, AIRCRAFT>","<LOOSE COWLING, EVENT DISTANCE, TAKEOFF>
<COWLING, EVENT DISTANCE, AFTER TAKEOFF>
<COWLING, HAS CAUSE, SEPARATED FROM AIRCRAFT>
<COWLING, HAS CAUSE, NO OTHER DAMAGE>","<LOOSE COWLING, INSTANCE OF, COWLING>
<COWLING, HAS EFFECT, SEPARATION>
<SEPARATION, FOLLOWED BY, TAKEOFF>
<COWLING, PART OF, AIRCRAFT>","<LOOSE COWLING, EVENT DISTANCE, TAKEOFF>
<COWLING, EVENT DISTANCE, AFTER TAKEOFF>
<COWLING, HAS CAUSE, SEPARATED FROM AIRCRAFT>
<COWLING, HAS CAUSE, NO OTHER DAMAGE>"
19820415019009I,ENGINE FAILED TO PRODUCE POWER AND PILOT AUTOROTATED INTO A FIELD. FAILURE WAS THE RESULT OF FUEL STARVATION.      ,"<ENGINE, HAS CAUSE, FUEL STARVATION>
<PILOT, AUTOROTATED INTO, FIELD>
<FAILURE, INSTANCE OF, FUEL STARVATION>","<ENGINE, HAS CAUSE, POWER FAILURE>
<FAILURE, RESULT, FUEL STARVATION>
<FAILURE, EVENT DISTANCE, PILOT AUTOROTATED INTO A FIELD>","<ENGINE, HAS CAUSE, FUEL STARVATION>
<PILOT, AUTOROTATED INTO, FIELD>
<FAILURE, INSTANCE OF, FUEL STARVATION>","<ENGINE, HAS CAUSE, POWER FAILURE>
<FAILURE, RESULT, FUEL STARVATION>
<FAILURE, EVENT DISTANCE, PILOT AUTOROTATED INTO A FIELD>"
19820523020949A,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,"<LOOSE COWLING, INSTANCE OF, EVENT>
<LANDED ON ISLAND FIELD, LOCATION, ISLAND FIELD>
<FASTENED COWLING, FOLLOWED BY, LANDED ON ISLAND FIELD>
<NOSED OVER, HAS CAUSE, TRYING TO TAKEOFF>
<TRYING TO TAKEOFF, HAS EFFECT, NOSED OVER>
<TRYING TO TAKEOFF, LOCATION, ROUGH GROUND>","<LOOSE COWLING, LOCATED ON, ISLAND FIELD>
<LOOSE COWLING, FASTENED, COWLING>
<LOOSE COWLING, EVENT DISTANCE, TRYING TO TAKEOFF ON ROUGH GROUND>","<LOOSE COWLING, INSTANCE OF, EVENT>
<LANDED ON ISLAND FIELD, LOCATION, ISLAND FIELD>
<FASTENED COWLING, FOLLOWED BY, LANDED ON ISLAND FIELD>
<NOSED OVER, HAS CAUSE, TRYING TO TAKEOFF>
<TRYING TO TAKEOFF, HAS EFFECT, NOSED OVER>
<TRYING TO TAKEOFF, LOCATION, ROUGH GROUND>","<LOOSE COWLING, LOCATED ON, ISLAND FIELD>
<LOOSE COWLING, FASTENED, COWLING>
<LOOSE COWLING, EVENT DISTANCE, TRYING TO TAKEOFF ON ROUGH GROUND>"
19820420028639I,UNABLE TO RAISE GEAR ON TAKEOFF. RETURNED. FAILED TO REMOVE LANDING GEAR PINS.                                     ,"<GEAR, UNABLE TO RAISE, TAKEOFF>
<GEAR, RETURNED, UNABLE TO RAISE>
<LANDING GEAR PINS, FAILED TO REMOVE, GEAR>","<UNABLE TO RAISE GEAR ON TAKEOFF, EVENT DISTANCE, RETURNED>
<FAILED TO REMOVE LANDING GEAR PINS, EVENT DISTANCE, RETURNED>","<GEAR, UNABLE TO RAISE, TAKEOFF>
<GEAR, RETURNED, UNABLE TO RAISE>
<LANDING GEAR PINS, FAILED TO REMOVE, GEAR>","<UNABLE TO RAISE GEAR ON TAKEOFF, EVENT DISTANCE, RETURNED>
<FAILED TO REMOVE LANDING GEAR PINS, EVENT DISTANCE, RETURNED>"
