entity1,entity2,relation,incident_ids
LANDED OFF AIRPORT,SHEARED MAIN GEAR,HAS EFFECT,19950619021589I
LANDED OFF AIRPORT,LOW ON OIL,HAS CAUSE,19950619021589I
LOW ON OIL,LANDED OFF AIRPORT,HAS EFFECT,19950619021589I
NOSE GEAR FAILED,"RETURNED  RETURNED, HAS CAUSE, NOSE GEAR FAILED",HAS EFFECT,19860228038269I
NOSE GEAR FAILED,PIN HAD BEEN REMOVED,HAS CAUSE,19860228038269I
PIN HAD NOT BEEN REMOVED,NOSE GEAR FAILED,HAS EFFECT,19860228038269I
DC-10 BOEING,NORTHWEST AIRLINES,OWNED BY,20000625032189I
NOSED OVER,FURROWS,LOCATION,19860530030499A
ACCESS DOOR SLIGHTLY OPEN,DEPRESSURIZED,HAS EFFECT,19821117066379I
DEPRESSURIZED,ACCESS DOOR SLIGHTY OPENED,HAS CAUSE,19821117066379I
STOPPED,FUSELAGE,HAS CAUSE,19821117066379I
VEERED OFF RUNWAY,HIT PARKED AIRPLANE,HAS EFFECT,19810303007119A
HIT PARKED AIRPLANE,VEERED OFF RUNWAY,HAS CAUSE,19810303007119A
RESTRICTED RUDDER PEDAL MOVEMENT,CARPETING,HAS CAUSE,19810303007119A
VEERED OFF TAXIWAY,STRUCK TAXIWAY LIGHT,HAS EFFECT,19950602032329I
STRUCK TAXIWAY LIGHT,VEERED OFF TAXIWAY,HAS CAUSE,19950602032329I
TAXING,GAS ESCAPING,FOLLOWED BY,19901101064289I
GAS ESCAPING,FUEL CAP MISSING,HAS CAUSE,19901101064289I
FUEL CAP MISSING,GAS ESCAPING,HAS EFFECT,19901101064289I
RAYTHEON AIRCRAFT,HAVENS LEASING,OWNED BY,20050713014239I
LOST POWER,AIRCRAFT FLIPPED,HAS EFFECT,19860706034879A
LOST POWER,ENROUTE,TIME PERIOD,19980508008619A
LOST POWER,NOSED OVER LANDING,HAS EFFECT,19980508008619A
LOST POWER,FAILED TO VISUALLY CHECK FUEL,HAS CAUSE,19980508008619A
LOST POWER,LANDED HARD,HAS EFFECT,19950804028629A
LOST POWER,GRINNELL,LOCATION,20070202001609A
AIRCRAFT FLIPPED,LOST POWER,HAS CAUSE,19860706034879A
SOLID ICE,CARBURETOR BOWL,PART OF,19840121015319I
GEAR BLOCKED DOWN,FERRIED,TIME PERIOD,19960322013629I
NOSE BLOCK FELL OUT,FERRIED,TIME PERIOD,19960322013629I
ROLLED ON LIFT OFF,TRAILER TIE DOWN,HAS CAUSE,19960504009509A
FAILED TO LIFTOFF RUNWAY,RAN OFF END,HAS EFFECT,19790211002709A
RAN OFF END,FAILED TO LIFTOFF RUNWAY,HAS CAUSE,19790211002709A
RAN OFF END,BRAKE FAILED,HAS CAUSE,19801005072789I
FRONT BAGGAGE DOOR POPPED OPEN,ABORTED TAKEOFF,HAS EFFECT,19780913017419I
UNMARKED DITCH,TAXIWAY,PART OF,19781113027039I
UNABLE TO STAY AIRBORNE,ABORTED,HAS EFFECT,19870606018859A
ABORTED,UNABLE TO STAY AIRBORNE,HAS CAUSE,19870606018859A
ABORTED,RIGHT FUEL CAP MISSING,HAS CAUSE,19911222062669I
GROUND LOOPED,AVOID OVERRUN,HAS CAUSE,19870606018859A
GROUND LOOPED,LANDING,TIME PERIOD,19860514036219I
OVERRUN,GROUND LOOPED,HAS EFFECT,19870606018859A
DEPARTED,HOURS OF DARKNESS,TIME PERIOD,19990714022959I
DEPARTED,BARTLESVILLE MUNICIPAL AIRPORT,LOCATION,20030607012509A
DEPARTED,1147 AM,TIME PERIOD,20030607012509A
NOSE GEAR WOULD NOT RETRACT,PIN WAS INSTALLED,HAS CAUSE,19870319012959I
PIN WAS INSTALLED,NOSE GEAR WOULD NOT RETRACT,HAS EFFECT,19870319012959I
OXYGEN MASK,PASSENGERS,USED BY,19890723054159I
CARGO DOOR LATCHED,TAKEOFF,FOLLOWED BY,19970523014439I
TIED SKIDS,HIGH WIND,HAS CAUSE,19970908038069A
ROLLED OVER,TIEDOWN CHAINS,HAS CAUSE,19970908038069A
ET BLAST,BAGGAGE CART WAS BLOWN,HAS EFFECT,19781108022239I
BAGGAGE CART WAS BLOWN,JET BLAST,HAS CAUSE,19781108022239I
RELEASE,HIGH ATTITUDE,INFLUENCED BY,19760606015529A
POWER CHECKS,PILOT,MAINTAINED BY,20051009024969I
POWER CHECKS,CREWMEMBER,MAINTAINED BY,20051009024969I
CONTROL OF AIRCRAFT,PILOT,MAINTAINED BY,19930530020029I
SEAT NOT LOCKED IN POSITION,LOST CONTROL,HAS EFFECT,19930530020029I
FAILED TO EXTEND,BROKE BELLCRANK,HAS EFFECT,19801230089799I
BROKE BELLCRANK,FAILED TO EXTEND,HAS CAUSE,19801230089799I
RETRACTION,FAILED TO EXTEND,FOLLOWS,19801230089799I
NOSED OVER LANDING,LOST POWER,HAS CAUSE,19980508008619A
FAILED TO VISUALLY CHECK FUEL,LOST POWER,HAS EFFECT,19980508008619A
LOST LEFT ENGINE,H71,LOCATION,19940818022409A
LOST LEFT ENGINE,CRASHED,HAS EFFECT,19940818022409A
LOST LEFT ENGINE,BAD OIL LEAK,HAS CAUSE,19940818022409A
LOST LEFT ENGINE,CRACKED ENGINE CASE,HAS EFFECT,19940818022409A
HIT TREES,CRASHED,HAS EFFECT,19920405008919A
AIRCRAFT HAD NOT HAD ANNUAL INSPECTION,ENGINE FAILURE,HAS CAUSE,19840821046409A
DOWNWIND GO AROUND,STRUCK TREE,HAS EFFECT,19850525020799A
STRUCK TREE,DOWNWIND GO AROUND,HAS CAUSE,19850525020799A
WITHOUT ATC COMMUNICATION,TCA,LOCATION,19861114075329I
WITHOUT ATC COMMUNICATION,MALFUNCTIONING ENCODING ALTIMETER,HAS CAUSE,19861114075329I
COULD NOT MAINTAIN ALTITUDE,RPM LOSS,HAS CAUSE,20010421009329I
NOSE BAGGAGE DOOR OPENED,BAGGAGE HIT LEFT PROP,HAS EFFECT,19960524045629A
NOSE BAGGAGE DOOR OPENED,CLIMBOUT,TIME PERIOD,19951031041599A
BAGGAGE HIT LEFT PROP,NOSE BAGGAGE DOOR OPENED,HAS CAUSE,19960524045629A
TOLERENCE,SPARK PLUGS,FACET OF,19871211075169A
PRIMER UNLOCKED,ROUGH ENGINE,HAS EFFECT,19871211075169A
GREEN LIGHT WAS OUT,SWAP LIGHTS,HAS EFFECT,20010910029739I
SWAP LIGHTS,GREEN LIGHT WAS OUT,HAS CAUSE,20010910029739I
ELECTRIC POWER LOST,IFR DUAL FLIGHT,TIME PERIOD,19871027060859A
CICUIT BREAKER OFF,PILOT ERROR,HAS CAUSE,19871027060859A
ENGINE COWLING SEPARATED,COWL NOT FASTENED,HAS CAUSE,19980616023109I
ENGINE COWLING SEPARATED,FLIGHT,TIME PERIOD,19780427013859I
COWL NOT FASTENED,ENGINE COWLING SEPARATED,HAS EFFECT,19980616023109I
REPOORTED PROBLEM,CLIMBOUT,TIME PERIOD,19910710026989A
SEAT PIN BENT,PROBLEM,INSTANCE OF,19910710026989A
BELT NOT FASTENED,PROBLEM,INSTANCE OF,19910710026989A
ENGINE RAN ROUGH,CLIMBOUT,TIME PERIOD,19791128035159A
ENGINE RAN ROUGH,PILOT LANDED IN FIELD,HAS EFFECT,19791128035159A
ENGINE RAN ROUGH,WATER IN FUEL,HAS CAUSE,19791128035159A
LANDED,RAIN SHOWER,TIME PERIOD,19791128035159A
LANDED,SAME RUNWAY,LOCATION,19911222062669I
LANDED,ROUGH WATER,LOCATION,19950804028629A
LANDED,FIELD,LOCATION,19850729066139I
LANDED,PRIVATE STRIP,LOCATION,19940226003029A
PILOT LANDED IN FIELD,ENGINE RAN ROUGH,HAS CAUSE,19791128035159A
SEAT SLID BACK,TAKEOFF,TIME PERIOD,20060621012279A
SEAT SLID BACK,OVERROTATE,HAS EFFECT,20060621012279A
OVERROTATE,SEAT SLID BACK,HAS CAUSE,20060621012279A
EMERGECY OFF AIRPORT LANDING,MARCH 14 1995,TIME PERIOD,19950314029269I
EARLY FUEL EXHAUSTION,FUEL SIPHONING,HAS CAUSE,19800804037399A
TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT,WORN OUT AND INEFFECTIVE BRAKES,HAS CAUSE,19780402008409I
FULL AFT POSITION,ENGINE START,TIME PERIOD,19890725041869I
PUSH THROTTLE,AIRCRAFT COLLIDED WITH PARKED PLANE,HAS EFFECT,19890725041869I
AIRCRAFT COLLIDED WITH PARKED PLANE,PUSH THROTTLE,HAS CAUSE,19890725041869I
RIGHT FUEL CAP MISSING,LIFTOFF,FOLLOWS,19911222062669I
RIGHT FUEL CAP MISSING,ABORTED,HAS EFFECT,19911222062669I
BRAKE FAILED,RAN OFF END,HAS EFFECT,19801005072789I
WHEELS LOCKED UP,TOUCH AND GO LANDINGS,FOLLOWS,19781210024199I
WHEELS LOCKED UP,SNOW,HAS CAUSE,19781210024199I
LANDED HARD,LOST POWER,HAS CAUSE,19950804028629A
LANDED HARD,DAMAGED FLOATS,HAS EFFECT,19950804028629A
LANDED HARD,DAMAGED LONGERON,HAS EFFECT,19950804028629A
DAMAGED FLOATS,LANDED HARD,HAS CAUSE,19950804028629A
DAMAGED LONGERON,LANDED HARD,HAS CAUSE,19950804028629A
SLIDING,NORMAL TOUCHDOWN,FOLLOWS,20040304003309I
SLIDING,LEFT SIDE OF RUNWAY,LOCATION,20040304003309I
HYDROPLANING,NORMAL TOUCHDOWN,FOLLOWS,20040304003309I
HYDROPLANING,LEFT SIDE OF RUNWAY,LOCATION,20040304003309I
CAUGHT ON TRAILER,TEHTERED HEAPER,HAS EFFECT,19780916024019A
TETHERED HEAPER,CAUGHT ON TRAILER,HAS CAUSE,19780916024019A
ENSURE ALL FUEL TANK CAPS,DEPARTURE,FOLLOWED BY,20060718018299I
FUEL CONTANIMATION,AIRFRAME FUEL FILTER,PART OF,20040925025079A
FUEL CONTANIMATION,ENGINE DRIVEN FUEL PUMP FILTER,PART OF,20040925025079A
CONNECTING ROD BENT,HYDRO LOCK,HAS CAUSE,19961027033759A
HIT COUNTER WEIGHT,BROKE PORP SHAFT,HAS EFFECT,19961027033759A
ELEVATOR CONTROL JAMMED,HARNESS CAUGHT ON ELEVATOR CABLE,HAS CAUSE,19850729066139I
PREVENTED GRAVITY FUEL FLOW,LEFT FUEL CAP LEAKED,HAS CAUSE,19940226003029A
LEFT FUEL CAP LEAKED,PREVENTED GRAVITY FUEL FLOW,HAS EFFECT,19940226003029A
"SEPTERMBER 23, 1999",1900 HOURS,TIME PERIOD,19990923027739A
WOODEN WHEEL CHOCK SHIFTED,FLIGHT,TIME PERIOD,19980415037339I
WOODEN WHEEL CHOCK SHIFTED,JAMMED THE NOSE LANDING GEAR,HAS EFFECT,19980415037339I
JAMMED THE NOSE LANDING GEAR,WOODEN WHEEL CHOCK SHIFTED,HAS CAUSE,19980415037339I
FAILED RELEASE LOGS,PITCHED UP,HAS EFFECT,19950826026019A
FAILED RELEASE LOGS,ROLLLED,HAS EFFECT,19950826026019A
PITCHED UP,FAILED RELEASE LOGS,HAS CAUSE,19950826026019A
FAILED TO USE SE PROCEDURES,COMPRESSOR STALL NR1 ENGINE,HAS EFFECT,19950826026019A
COMPRESSOR STALL NR1 ENGINE,FAILED TO USE SE PROCEDURES,HAS CAUSE,19950826026019A
ROLLED,FAILED RELEASE LOGS,HAS CAUSE,19950826026019A
"FEBURARY 19, 2000",1825 EASTERN STANDARD TIME,TIME PERIOD,20000215041409A
CRASH LANDED,ENGINE QUIT,HAS CAUSE,19880527016939A
BURNED,AFTER DEPARTURE,TIME PERIOD,19960418007829A
LOUD POP,TAKEOFF ROLL,TIME PERIOD,19970828026989A
LOST RUDDER CONTROL,LOUD POP,HAS EFFECT,19970828026989A
LOST RUDDER CONTROL,FAILED TO LOCK THE TAILWHEEL,HAS CAUSE,19970828026989A
EXITED RWY,CORNFIELD,LOCATION,19970828026989A
FAILED TO LOCK TAILWHEEL,LOST RUDDER CONTROL,HAS EFFECT,19970828026989A
CANOPY CAME OPEN,CLIMBOUT,TIME PERIOD,19870523018729A
CANOPY CAME OPEN,GROUND COLLISION,HAS EFFECT,19870523018729A
CANOPY CAME OPEN,PILOT ERROR,HAS CAUSE,19870523018729A
