c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS EFFECT, DRIFTED OFF THE EDGE>
<CARBURETOR BOWL, LOCATION, ICE>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS CAUSE, DRIFTED OFF THE EDGE>
<ENGINE, HAS CAUSE, CARBURETOR BOWL>
<DRIFTED OFF THE EDGE, LOCATION, SOLID ICE>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS EFFECT, DRIFTED OFF THE EDGE>
<CARBURETOR BOWL, LOCATION, ICE>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS CAUSE, DRIFTED OFF THE EDGE>
<ENGINE, HAS CAUSE, CARBURETOR BOWL>
<DRIFTED OFF THE EDGE, LOCATION, SOLID ICE>"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"<LOST CONTROL, HAS CAUSE, NEGLECTED TO CONNECT RIGHT AILERON>
<LOST CONTROL, EVENT DISTANCE, CLIMBOUT>
<LOST CONTROL, HAS EFFECT, SPIRAL TO IMPACT>
<SPIRAL TO IMPACT, EVENT DISTANCE, AFTER TOW RELEASE>
<LOST CONTROL, FOLLOWED BY, ROLLED BOTH WAYS>","<LAST FLIGHT, LOST CONTROL ON, CLIMBOUT>
<LAST FLIGHT, ROLLED BOTH WAYS, AFTER TOW RELEASE>
<LAST FLIGHT, SPIRAL TO, IMPACT>
<LAST FLIGHT, NEGLECTED TO CONNECT, RIGHT AILERON>","<LOST CONTROL, HAS CAUSE, NEGLECTED TO CONNECT RIGHT AILERON>
<LOST CONTROL, EVENT DISTANCE, CLIMBOUT>
<LOST CONTROL, HAS EFFECT, SPIRAL TO IMPACT>
<SPIRAL TO IMPACT, EVENT DISTANCE, AFTER TOW RELEASE>
<LOST CONTROL, FOLLOWED BY, ROLLED BOTH WAYS>","<LAST FLIGHT, LOST CONTROL ON, CLIMBOUT>
<LAST FLIGHT, ROLLED BOTH WAYS, AFTER TOW RELEASE>
<LAST FLIGHT, SPIRAL TO, IMPACT>
<LAST FLIGHT, NEGLECTED TO CONNECT, RIGHT AILERON>"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"<AIRCRAFT, BEING FERRIED FOR, MAINTENANCE>
<GEAR, BLOCKED DOWN, AIRCRAFT>
<NOSE BLOCK, FELL OUT, AIRCRAFT>","<THE AIRCRAFT, MAINTAINED BY, MAINTENANCE>
<THE AIRCRAFT, EVENT DISTANCE, GEAR BLOCKED DOWN>
<THE AIRCRAFT, EVENT DISTANCE, NOSE BLOCK FELL OUT>","<AIRCRAFT, BEING FERRIED FOR, MAINTENANCE>
<GEAR, BLOCKED DOWN, AIRCRAFT>
<NOSE BLOCK, FELL OUT, AIRCRAFT>","<THE AIRCRAFT, MAINTAINED BY, MAINTENANCE>
<THE AIRCRAFT, EVENT DISTANCE, GEAR BLOCKED DOWN>
<THE AIRCRAFT, EVENT DISTANCE, NOSE BLOCK FELL OUT>"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"<TRAILER TIE DOWN, FAILED TO DETACH FROM, SKID>
<PILOT, FAILED TO DETACH, TRAILER TIE DOWN>
<ROLLING, HAS CAUSE, LOST CONTROL>
<EVENT DISTANCE, -23, PILOT>","<FAILED TO DETACH TRAILER TIE DOWN, LOST CONTROL, ROLLED ON LIFT OFF>
<FAILED TO DETACH TRAILER TIE DOWN, EVENT DISTANCE, (-23)>
<LOST CONTROL, EVENT DISTANCE, (-23)>","<TRAILER TIE DOWN, FAILED TO DETACH FROM, SKID>
<PILOT, FAILED TO DETACH, TRAILER TIE DOWN>
<ROLLING, HAS CAUSE, LOST CONTROL>
<EVENT DISTANCE, -23, PILOT>","<FAILED TO DETACH TRAILER TIE DOWN, LOST CONTROL, ROLLED ON LIFT OFF>
<FAILED TO DETACH TRAILER TIE DOWN, EVENT DISTANCE, (-23)>
<LOST CONTROL, EVENT DISTANCE, (-23)>"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"<AIRCRAFT, HAS CAUSE, FAILED TO LIFTOFF RUNWAY>
<AIRCRAFT, HAS EFFECT, RAN OFF END INTO SNOW BANK>
<AIRCRAFT, HAS EFFECT, FROST ON AIRFRAME>","<FAILURE TO LIFTOFF, CAUSE, RAN OFF END INTO SNOW BANK>
<FAILURE TO LIFTOFF, CAUSE, FROST ON AIRFRAME>
<FAILURE TO LIFTOFF, LOCATION, RUNWAY>","<AIRCRAFT, HAS CAUSE, FAILED TO LIFTOFF RUNWAY>
<AIRCRAFT, HAS EFFECT, RAN OFF END INTO SNOW BANK>
<AIRCRAFT, HAS EFFECT, FROST ON AIRFRAME>","<FAILURE TO LIFTOFF, CAUSE, RAN OFF END INTO SNOW BANK>
<FAILURE TO LIFTOFF, CAUSE, FROST ON AIRFRAME>
<FAILURE TO LIFTOFF, LOCATION, RUNWAY>"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"<ENGINE POWER FAILURE, HAS CAUSE, LANDED IN FIELD>
<LANDED IN FIELD, EVENT DISTANCE, AEROBATICS>
<PILOT, USED BY, DID NOT VISUALLY INSPECT FUEL TANKS>","<ENGINE POWER FAILURE, CAUSE, AEROBATICS>
<ENGINE POWER FAILURE, EVENT DISTANCE, LANDED IN FIELD>
<PILOT, HAS EFFECT, VISUALLY INSPECT FUEL TANKS>","<ENGINE POWER FAILURE, HAS CAUSE, LANDED IN FIELD>
<LANDED IN FIELD, EVENT DISTANCE, AEROBATICS>
<PILOT, USED BY, DID NOT VISUALLY INSPECT FUEL TANKS>","<ENGINE POWER FAILURE, CAUSE, AEROBATICS>
<ENGINE POWER FAILURE, EVENT DISTANCE, LANDED IN FIELD>
<PILOT, HAS EFFECT, VISUALLY INSPECT FUEL TANKS>"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"<ABORTED TAKEOFF, HAS CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>","<ABORTED TAKEOFF, CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>","<ABORTED TAKEOFF, HAS CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>","<ABORTED TAKEOFF, CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"<PILOT, USED BY, TAXI>
<PILOT, FOLLOWED BY, TAXIED>
<TAXIED, EVENT DISTANCE, UNMARKED DITCH>
<TAXIED, LOCATION, TAXIWAY>","<PILOT, EVENT DISTANCE, UNMARKED DITCH AT END OF TAXIWAY>","<PILOT, USED BY, TAXI>
<PILOT, FOLLOWED BY, TAXIED>
<TAXIED, EVENT DISTANCE, UNMARKED DITCH>
<TAXIED, LOCATION, TAXIWAY>","<PILOT, EVENT DISTANCE, UNMARKED DITCH AT END OF TAXIWAY>"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"<TAKEOFF, HAS CAUSE, UNABLE TO STAY AIRBORNE>
<ABORTED, INSTANCE OF, GROUND LOOP>
<GROUND LOOP, LOCATION, TREE>
<MAG SWITCH, PART OF, MAG>","<UNABLE TO STAY AIRBORNE, EVENT DISTANCE, TAKEOFF>
<UNABLE TO STAY AIRBORNE, EVENT DISTANCE, ABORTED>
<UNABLE TO STAY AIRBORNE, EVENT DISTANCE, GROUND LOOPED INTO A TREE>
<MAG SWITCH, HAS EFFECT, UNABLE TO STAY AIRBORNE>
<MAG SWITCH, HAS EFFECT, ABORTED>
<MAG SWITCH, HAS EFFECT, GROUND LOOPED INTO A TREE>","<TAKEOFF, HAS CAUSE, UNABLE TO STAY AIRBORNE>
<ABORTED, INSTANCE OF, GROUND LOOP>
<GROUND LOOP, LOCATION, TREE>
<MAG SWITCH, PART OF, MAG>","<UNABLE TO STAY AIRBORNE, EVENT DISTANCE, TAKEOFF>
<UNABLE TO STAY AIRBORNE, EVENT DISTANCE, ABORTED>
<UNABLE TO STAY AIRBORNE, EVENT DISTANCE, GROUND LOOPED INTO A TREE>
<MAG SWITCH, HAS EFFECT, UNABLE TO STAY AIRBORNE>
<MAG SWITCH, HAS EFFECT, ABORTED>
<MAG SWITCH, HAS EFFECT, GROUND LOOPED INTO A TREE>"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"<PILOT, DEPARTED FROM, FRONT RANGE AIRPORT>
<DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>
<START, PART OF, RUN>","<DEPARTURE, LOCATION, FRONT RANGE AIRPORT>
<DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>","<PILOT, DEPARTED FROM, FRONT RANGE AIRPORT>
<DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>
<START, PART OF, RUN>","<DEPARTURE, LOCATION, FRONT RANGE AIRPORT>
<DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"<NOSE GEAR, INSTANCE OF, PIN>
<NOSE GEAR, HAS CAUSE, PIN>","<NOSE GEAR, INSTALLED BY, PIN>","<NOSE GEAR, INSTANCE OF, PIN>
<NOSE GEAR, HAS CAUSE, PIN>","<NOSE GEAR, INSTALLED BY, PIN>"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","<SIKORSKY S-70A, INSTANCE OF, N160LA>
<VIBRATION, HAS CAUSE, APU DOOR STRUCK A MAIN ROTOR BLADE>
<VIBRATION, EVENT DISTANCE, INFLIGHT>
<VIBRATION, LOCATION, NEAR>","<VIBRATION, CAUSE, APU DOOR STRUCK MAIN ROTOR BLADE>
<VIBRATION, EVENT DISTANCE, INFLIGHT>
<APU DOOR, PART OF, MAIN ROTOR BLADE>","<SIKORSKY S-70A, INSTANCE OF, N160LA>
<VIBRATION, HAS CAUSE, APU DOOR STRUCK A MAIN ROTOR BLADE>
<VIBRATION, EVENT DISTANCE, INFLIGHT>
<VIBRATION, LOCATION, NEAR>","<VIBRATION, CAUSE, APU DOOR STRUCK MAIN ROTOR BLADE>
<VIBRATION, EVENT DISTANCE, INFLIGHT>
<APU DOOR, PART OF, MAIN ROTOR BLADE>"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, FOLLOWED BY, CARGO TRIP>
<AIRCRAFT, LOCATION, TAXIWAY>","<PILOT, USED BY, AIRCRAFT>
<PILOT, EVENT DISTANCE, TAXIING>
<PILOT, EVENT DISTANCE, PARKING>
<PILOT, EVENT DISTANCE, CARGO TRIP>
<PILOT, EVENT DISTANCE, TAXIWAY>","<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, FOLLOWED BY, CARGO TRIP>
<AIRCRAFT, LOCATION, TAXIWAY>","<PILOT, USED BY, AIRCRAFT>
<PILOT, EVENT DISTANCE, TAXIING>
<PILOT, EVENT DISTANCE, PARKING>
<PILOT, EVENT DISTANCE, CARGO TRIP>
<PILOT, EVENT DISTANCE, TAXIWAY>"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"<LANDING, FOLLOWED BY, DETERMINATION>
<DETERMINATION, HAS EFFECT, INSUFFICIENT NUMBER OF SEATS>
<DETERMINATION, HAS EFFECT, OXYGEN MASKS>
<PASSENGERS ONBOARD, LOCATION, ONBOARD>","<LANDING, DETERMINED, INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD>","<LANDING, FOLLOWED BY, DETERMINATION>
<DETERMINATION, HAS EFFECT, INSUFFICIENT NUMBER OF SEATS>
<DETERMINATION, HAS EFFECT, OXYGEN MASKS>
<PASSENGERS ONBOARD, LOCATION, ONBOARD>","<LANDING, DETERMINED, INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD>"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"<CARGO DOOR, LATCHED BY, MR. BOWEN>
<RUNWAY CONDITIONS AT STEVEN’S VILLAGE, EVENT DISTANCE, UNKNOWN>","<CARGO DOOR, LATCHED BEFORE, TAKEOFF>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>","<CARGO DOOR, LATCHED BY, MR. BOWEN>
<RUNWAY CONDITIONS AT STEVEN’S VILLAGE, EVENT DISTANCE, UNKNOWN>","<CARGO DOOR, LATCHED BEFORE, TAKEOFF>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"<TIRED TAXI, INSTANCE OF, TAXI>
<TIRED TAXI, HAS EFFECT, ROLLED OVER>
<TIRED TAXI, FOLLOWED BY, PILOT FAILED NOTE>
<PILOT, USED BY, TAXI>
<TIRED TAXI, FOLLOWED BY, SKIDS>
<SKIDS, HAS CAUSE, HIGH WIND>","<TIEDOWN CHAINS, ATTACHED TO, TIRED TAXI>
<TIEDOWN CHAINS, CAUSE, ROLLED OVER>
<TIEDOWN CHAINS, CAUSE, PILOT FAILED>
<TIEDOWN CHAINS, CAUSE, SKIDS DUE HIGH WIND>
<TIEDOWN CHAINS, ATTACHED TO, RAMP PERSON>
<TIEDOWN CHAINS, ATTACHED TO, SKIDS DUE HIGH WIND>","<TIRED TAXI, INSTANCE OF, TAXI>
<TIRED TAXI, HAS EFFECT, ROLLED OVER>
<TIRED TAXI, FOLLOWED BY, PILOT FAILED NOTE>
<PILOT, USED BY, TAXI>
<TIRED TAXI, FOLLOWED BY, SKIDS>
<SKIDS, HAS CAUSE, HIGH WIND>","<TIEDOWN CHAINS, ATTACHED TO, TIRED TAXI>
<TIEDOWN CHAINS, CAUSE, ROLLED OVER>
<TIEDOWN CHAINS, CAUSE, PILOT FAILED>
<TIEDOWN CHAINS, CAUSE, SKIDS DUE HIGH WIND>
<TIEDOWN CHAINS, ATTACHED TO, RAMP PERSON>
<TIEDOWN CHAINS, ATTACHED TO, SKIDS DUE HIGH WIND>"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"<BAGGAGE CART, BLOWN INTO, PARKED AIRCRAFT>
<BAGGAGE CART, HAS CAUSE, JET BLAST>
<BRAKES, INOPERATIVE ON, CART>","<BAGGAGE CART, HAS CAUSE, JET BLAST>
<BAGGAGE CART, HAS CAUSE, INOPERATIVE BRAKES>","<BAGGAGE CART, BLOWN INTO, PARKED AIRCRAFT>
<BAGGAGE CART, HAS CAUSE, JET BLAST>
<BRAKES, INOPERATIVE ON, CART>","<BAGGAGE CART, HAS CAUSE, JET BLAST>
<BAGGAGE CART, HAS CAUSE, INOPERATIVE BRAKES>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<GLIDER, INSTANCE OF, OPPORTUNITY>","<GLIDER, HAS EFFECT, NOSE HIGH ATTITUDE>","<GLIDER, INSTANCE OF, OPPORTUNITY>","<GLIDER, HAS EFFECT, NOSE HIGH ATTITUDE>"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, PILOT>
<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, CREWMEMBER>","<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, PILOT AND ONE CREWMEMBER>","<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, PILOT>
<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, CREWMEMBER>","<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, PILOT AND ONE CREWMEMBER>"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, HAS CAUSE, PILOT LOST CONTROL>
<PILOT LOST CONTROL, EVENT DISTANCE, TAKEOFF ROLL>
<PILOTS SEAT, INSTANCE OF, POSITION>
<PILOTS SEAT, HAS EFFECT, SLID AFT>
<SLID AFT, HAS CAUSE, ACCELERATION>","<PILOT, HAS CAUSE, LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL>
<PILOT, USED BY, PILOTS SEAT>
<PILOTS SEAT, HAS EFFECT, SLID AFT ON ACCELERATION>","<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, HAS CAUSE, PILOT LOST CONTROL>
<PILOT LOST CONTROL, EVENT DISTANCE, TAKEOFF ROLL>
<PILOTS SEAT, INSTANCE OF, POSITION>
<PILOTS SEAT, HAS EFFECT, SLID AFT>
<SLID AFT, HAS CAUSE, ACCELERATION>","<PILOT, HAS CAUSE, LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL>
<PILOT, USED BY, PILOTS SEAT>
<PILOTS SEAT, HAS EFFECT, SLID AFT ON ACCELERATION>"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","<FLAT NOSE STRUT, FAILED TO EXTEND, BEFORE RETRACTION>
<FLAT NOSE STRUT, CAUGHT ON, AIRPLANE STRUCTURE>
<BELLCRANK, BROKE BY, FLAT NOSE STRUT>
<COLLAPSED, HAS CAUSE, FLAT NOSE STRUT>","<FLAT NOSE STRUT, HAS CAUSE, BROKE THE BELLCRANK>
<FLAT NOSE STRUT, HAS CAUSE, COLLAPSED>
<FLAT NOSE STRUT, USED BY, AIRPLANE STRUCTURE>","<FLAT NOSE STRUT, FAILED TO EXTEND, BEFORE RETRACTION>
<FLAT NOSE STRUT, CAUGHT ON, AIRPLANE STRUCTURE>
<BELLCRANK, BROKE BY, FLAT NOSE STRUT>
<COLLAPSED, HAS CAUSE, FLAT NOSE STRUT>","<FLAT NOSE STRUT, HAS CAUSE, BROKE THE BELLCRANK>
<FLAT NOSE STRUT, HAS CAUSE, COLLAPSED>
<FLAT NOSE STRUT, USED BY, AIRPLANE STRUCTURE>"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"<LOST POWER, HAS EFFECT, NOSED OVER LANDING>
<NOSED OVER LANDING, LOCATION, SLOPE>
<FAILED TO VISUALLY CHECK FUEL, HAS CAUSE, FAILED TO VISUALLY CHECK FUEL>","<LOST POWER, EVENT DISTANCE, ENROUTE>
<NOSED OVER LANDING, LOCATION, SLOPE>
<FUEL, HAS EFFECT, NO EVIDENCE AT SCENE>
<FAILED TO VISUALLY CHECK FUEL, CAUSE, NO EVIDENCE OF FUEL AT SCENE>","<LOST POWER, HAS EFFECT, NOSED OVER LANDING>
<NOSED OVER LANDING, LOCATION, SLOPE>
<FAILED TO VISUALLY CHECK FUEL, HAS CAUSE, FAILED TO VISUALLY CHECK FUEL>","<LOST POWER, EVENT DISTANCE, ENROUTE>
<NOSED OVER LANDING, LOCATION, SLOPE>
<FUEL, HAS EFFECT, NO EVIDENCE AT SCENE>
<FAILED TO VISUALLY CHECK FUEL, CAUSE, NO EVIDENCE OF FUEL AT SCENE>"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"<LEFT ENGINE, LOCATION, H71>
<FEATHERED, HAS EFFECT, BEGAN GO>
<BEGAN GO, EVENT DISTANCE, BELOW VMC>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<CRASHED, HAS CAUSE, CRACKED ENGINE CASE>","<LEFT ENGINE, CRASHED, H71>
<LEFT ENGINE, CONDITION, BEGAN GO AROUND BELOW VMC>
<LEFT ENGINE, CONDITION, BAD OIL LEAK>
<LEFT ENGINE, CONDITION, CRACKED ENGINE CASE>","<LEFT ENGINE, LOCATION, H71>
<FEATHERED, HAS EFFECT, BEGAN GO>
<BEGAN GO, EVENT DISTANCE, BELOW VMC>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<CRASHED, HAS CAUSE, CRACKED ENGINE CASE>","<LEFT ENGINE, CRASHED, H71>
<LEFT ENGINE, CONDITION, BEGAN GO AROUND BELOW VMC>
<LEFT ENGINE, CONDITION, BAD OIL LEAK>
<LEFT ENGINE, CONDITION, CRACKED ENGINE CASE>"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","<ATTEMPTED TAKEOFF, EVENT DISTANCE, 2500 FT>
<ATTEMPTED TAKEOFF, INFLUENCED BY, GUSTY NORTH WIND>
<CRASHED, HAS CAUSE, HIT TREES>
<CRASHED, EVENT DISTANCE, OFF END OF STRIP>","<ATTEMPTED TAKEOFF, LOCATION, 2500 FT SOD STRIP>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, TREES>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, END OF STRIP>
<ATTEMPTED TAKEOFF, RESULT, CRASHED>","<ATTEMPTED TAKEOFF, EVENT DISTANCE, 2500 FT>
<ATTEMPTED TAKEOFF, INFLUENCED BY, GUSTY NORTH WIND>
<CRASHED, HAS CAUSE, HIT TREES>
<CRASHED, EVENT DISTANCE, OFF END OF STRIP>","<ATTEMPTED TAKEOFF, LOCATION, 2500 FT SOD STRIP>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, TREES>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, END OF STRIP>
<ATTEMPTED TAKEOFF, RESULT, CRASHED>"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, TIME PERIOD, TAKEOFF>
<ENGINE FAILURE, HAS CAUSE, FORCED LANDING>
<AIRCRAFT, PART OF, CRASH>
<AIRCRAFT, MAINTAINED BY, ANNUAL INSPECTION>","<CRASH, EVENT DISTANCE, FORCED LANDING>
<CRASH, EVENT DISTANCE, TAKEOFF>
<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, HAS CAUSE, NOT HAD ANNUAL INSPECTION>","<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, TIME PERIOD, TAKEOFF>
<ENGINE FAILURE, HAS CAUSE, FORCED LANDING>
<AIRCRAFT, PART OF, CRASH>
<AIRCRAFT, MAINTAINED BY, ANNUAL INSPECTION>","<CRASH, EVENT DISTANCE, FORCED LANDING>
<CRASH, EVENT DISTANCE, TAKEOFF>
<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, HAS CAUSE, NOT HAD ANNUAL INSPECTION>"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","<CESSNA 207, INSTANCE OF, N1549U>
<N1549U, USED BY, PILOT>
<TAKEOFF, EVENT DISTANCE, BETHEL AIRPORT>
<ENGINE STOPPED, HAS CAUSE, TAKEOFF>","<CESSNA 207, USED BY, PILOT>
<CESSNA 207, LOCATION, BETHEL AIRPORT>
<CESSNA 207, EVENT DISTANCE, AFTER TAKEOFF FROM BETHEL AIRPORT, ENGINE STOPPED>","<CESSNA 207, INSTANCE OF, N1549U>
<N1549U, USED BY, PILOT>
<TAKEOFF, EVENT DISTANCE, BETHEL AIRPORT>
<ENGINE STOPPED, HAS CAUSE, TAKEOFF>","<CESSNA 207, USED BY, PILOT>
<CESSNA 207, LOCATION, BETHEL AIRPORT>
<CESSNA 207, EVENT DISTANCE, AFTER TAKEOFF FROM BETHEL AIRPORT, ENGINE STOPPED>"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"<TOUCHED DOWN, EVENT DISTANCE, 3 MILES>
<TOUCHED DOWN, LOCATION, AIRPORT>
<ATTEMPTED DOWNWIND GO AROUND, HAS EFFECT, STRUCK TREE>
<STRUCK TREE, PART OF, DOWNWIND GO AROUND>","<TOWNSHIP, EVENT DISTANCE, 3 MILES FROM AIRPORT>","<TOUCHED DOWN, EVENT DISTANCE, 3 MILES>
<TOUCHED DOWN, LOCATION, AIRPORT>
<ATTEMPTED DOWNWIND GO AROUND, HAS EFFECT, STRUCK TREE>
<STRUCK TREE, PART OF, DOWNWIND GO AROUND>","<TOWNSHIP, EVENT DISTANCE, 3 MILES FROM AIRPORT>"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"<TCA, ENTERED BY, PILOT>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>","<ENTERED TCA, CONDITION, WITHOUT ATC COMMUNICATION>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>","<TCA, ENTERED BY, PILOT>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>","<ENTERED TCA, CONDITION, WITHOUT ATC COMMUNICATION>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>"
