c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"<ROUTINE ENGINE, CONDITION, ROUNDED>
<ROUTINE ENGINE, LOCATION, CITY STREET>
<ROUTINE ENGINE, ISSUE, SPARK PLUGS OUT OF TOLERANCE>
<ROUTINE ENGINE, CONDITION, PRIMER UNLOCKED>","<ROUTINE ENGINE, CONDITION, ROUNDED>
<ROUTINE ENGINE, LOCATION, CITY STREET>
<ROUTINE ENGINE, ISSUE, SPARK PLUGS OUT OF TOLERANCE>
<ROUTINE ENGINE, CONDITION, PRIMER UNLOCKED>"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","<PICTOR, HAS CAUSE, PILOT ERROR>
<PICTOR, EVENT DISTANCE, FORCED LANDING>
<PICTOR, HAS CAUSE, ELECTRIC POWER LOST>
<PICTOR, HAS CAUSE, STRUCK POWER POLE>
<PICTOR, HAS CAUSE, CIRCUIT BREAKER OFF>","<PICTOR, HAS CAUSE, PILOT ERROR>
<PICTOR, EVENT DISTANCE, FORCED LANDING>
<PICTOR, HAS CAUSE, ELECTRIC POWER LOST>
<PICTOR, HAS CAUSE, STRUCK POWER POLE>
<PICTOR, HAS CAUSE, CIRCUIT BREAKER OFF>"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"<ENGINE COWLING SEPERATED, HAS CAUSE, LOUD BANG AND SHUDDER ENROUTE>
<ENGINE COWLING SEPERATED, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING SEPERATED, HAS CAUSE, COWL NOT FASTENED>","<ENGINE COWLING SEPERATED, HAS CAUSE, LOUD BANG AND SHUDDER ENROUTE>
<ENGINE COWLING SEPERATED, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING SEPERATED, HAS CAUSE, COWL NOT FASTENED>"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"<CLIMBOUT, REPORTED PROBLEM, STALLED AND CRASHED>
<CLIMBOUT, HAS CAUSE, NO LOCKING PINS IN SEAT TRACK>
<CLIMBOUT, HAS CAUSE, SEAT PIN BENT>
<CLIMBOUT, HAS CAUSE, BELT NOT FASTENED>","<CLIMBOUT, REPORTED PROBLEM, STALLED AND CRASHED>
<CLIMBOUT, HAS CAUSE, NO LOCKING PINS IN SEAT TRACK>
<CLIMBOUT, HAS CAUSE, SEAT PIN BENT>
<CLIMBOUT, HAS CAUSE, BELT NOT FASTENED>"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING, CAUSE, POWER LOSS>
<FORCED LANDING, EFFECT, FOUND WATER IN FUEL>","<FORCED LANDING, CAUSE, POWER LOSS>
<FORCED LANDING, EFFECT, FOUND WATER IN FUEL>"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"<LAST CONTROL, FOLLOWED BY, LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL>
<LAST CONTROL, FOLLOWED BY, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>","<LAST CONTROL, FOLLOWED BY, LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL>
<LAST CONTROL, FOLLOWED BY, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","<PILOT, EVENT DISTANCE, LANDED TO WAIT OUT RAIN SHOWER>
<PILOT, EVENT DISTANCE, CLIMBOUT>
<PILOT, EVENT DISTANCE, LANDED IN FIELD>
<PILOT, HAS CAUSE, WATER IN FUEL>","<PILOT, EVENT DISTANCE, LANDED TO WAIT OUT RAIN SHOWER>
<PILOT, EVENT DISTANCE, CLIMBOUT>
<PILOT, EVENT DISTANCE, LANDED IN FIELD>
<PILOT, HAS CAUSE, WATER IN FUEL>"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","<AT ROTATION, FOLLOWED BY, SEAT SLID BACK>
<SEAT SLID BACK, HAS CAUSE, OVERROTATE>
<AT ROTATION, EVENT DISTANCE, TAKEOFF>","<AT ROTATION, FOLLOWED BY, SEAT SLID BACK>
<SEAT SLID BACK, HAS CAUSE, OVERROTATE>
<AT ROTATION, EVENT DISTANCE, TAKEOFF>"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO",,
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"<FUEL EXHAUSTION, CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, EFFECT, OVERSHOT EMERGENCY LANDING AREA>","<FUEL EXHAUSTION, CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, EFFECT, OVERSHOT EMERGENCY LANDING AREA>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>","<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"<ENGINE START, FOLLOWED BY, PILOTS SEAT WENT TO FULL AFT POSITION>
<ENGINE START, FOLLOWED BY, PUSH THROTTLE IN FULL>
<ENGINE START, FOLLOWED BY, AIRCRAFT COLLIDED WITH PARKED PLANE>","<ENGINE START, FOLLOWED BY, PILOTS SEAT WENT TO FULL AFT POSITION>
<ENGINE START, FOLLOWED BY, PUSH THROTTLE IN FULL>
<ENGINE START, FOLLOWED BY, AIRCRAFT COLLIDED WITH PARKED PLANE>"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"<ABORTED TAKEOFF, FOLLOWED BY, AFTER LIFTOFF>
<ABORTED TAKEOFF, FOLLOWED BY, LANDED ON SAME RUNWAY>
<ABORTED TAKEOFF, FOLLOWED BY, RAN OFF SIDE OF RUNWAY>","<ABORTED TAKEOFF, FOLLOWED BY, AFTER LIFTOFF>
<ABORTED TAKEOFF, FOLLOWED BY, LANDED ON SAME RUNWAY>
<ABORTED TAKEOFF, FOLLOWED BY, RAN OFF SIDE OF RUNWAY>"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","<(-23) THE AIRCRAFT, LOCATION, BARTLESVILLE MUNICIPAL AIRPORT (BVO)>
<(-23) THE AIRCRAFT, EVENT DISTANCE, 1147 AM LOCAL TIME>","<(-23) THE AIRCRAFT, LOCATION, BARTLESVILLE MUNICIPAL AIRPORT (BVO)>
<(-23) THE AIRCRAFT, EVENT DISTANCE, 1147 AM LOCAL TIME>"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"<PILOT, EVENT DISTANCE, REMAINING BRAKE FAILED>
<PILOT, USED BY, RUNWAY>","<PILOT, EVENT DISTANCE, REMAINING BRAKE FAILED>
<PILOT, USED BY, RUNWAY>"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"<WHEELS, HAS EFFECT, SNOW PACKED IN THE WHEEL PANTS>","<WHEELS, HAS EFFECT, SNOW PACKED IN THE WHEEL PANTS>"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"<LANDED HARD, CAUSE, LOST POWER>
<LANDED HARD, CAUSE, WATER IN FUEL>
<LANDED HARD, CAUSE, MISREAD WATER IN SUMP TO BE FUEL>","<LANDED HARD, CAUSE, LOST POWER>
<LANDED HARD, CAUSE, WATER IN FUEL>
<LANDED HARD, CAUSE, MISREAD WATER IN SUMP TO BE FUEL>"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","<AFTER NORMAL TOUCHDOWN, EVENT, AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY>","<AFTER NORMAL TOUCHDOWN, EVENT, AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY>"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"<ENGINE COWLING, PART OF, ENGINE>","<ENGINE COWLING, PART OF, ENGINE>"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","<FLIGHT, LOCATION, NOTH PLATTE, NE>
<FLIGHT, LOCATION, IOWA CITY, IA>
<FLIGHT, DISTANCE, 487 STATUTE MILES>
<FLIGHT, EVENT DISTANCE, NEAR GRINNELL>
<FLIGHT, HAS CAUSE, LOST POWER>","<FLIGHT, LOCATION, NOTH PLATTE, NE>
<FLIGHT, LOCATION, IOWA CITY, IA>
<FLIGHT, DISTANCE, 487 STATUTE MILES>
<FLIGHT, EVENT DISTANCE, NEAR GRINNELL>
<FLIGHT, HAS CAUSE, LOST POWER>"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"<TIE DOWN STRAP, USED BY, LEFT SKID>
<TIE DOWN STRAP, USED BY, TRAILER>
<TIE DOWN STRAP, USED BY, HEPER>","<TIE DOWN STRAP, USED BY, LEFT SKID>
<TIE DOWN STRAP, USED BY, TRAILER>
<TIE DOWN STRAP, USED BY, HEPER>"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"<THE PILOT IN COMMAND (PIC), HAS CAUSE, FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE>","<THE PILOT IN COMMAND (PIC), HAS CAUSE, FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE>"
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"<FUEL CONTAMINATION IN AIRFRAME FUEL FILTER, IN FUEL FILTER, IN ENGINE DRIVEN FUEL PUMP FILTER>","<FUEL CONTAMINATION IN AIRFRAME FUEL FILTER, IN FUEL FILTER, IN ENGINE DRIVEN FUEL PUMP FILTER>"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"<PRIOR DEMO FLIGHT, EVENT DISTANCE, CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP>
<CONNECTING ROD, HAS CAUSE, BROKE>
<BROKE, HAS CAUSE, HIT COUNTER WT.>
<BROKE, HAS CAUSE, BROKE PORP SHAFT>","<PRIOR DEMO FLIGHT, EVENT DISTANCE, CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP>
<CONNECTING ROD, HAS CAUSE, BROKE>
<BROKE, HAS CAUSE, HIT COUNTER WT.>
<BROKE, HAS CAUSE, BROKE PORP SHAFT>"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","<THE AIRCRAFT, STRUCK, N106DA>
<THE AIRCRAFT, TIME PERIOD, WHILE TAXIING>
<PILOT, UNAWARE OF, BRAKE PROBLEMS ON THE AIRCRAFT>","<THE AIRCRAFT, STRUCK, N106DA>
<THE AIRCRAFT, TIME PERIOD, WHILE TAXIING>
<PILOT, UNAWARE OF, BRAKE PROBLEMS ON THE AIRCRAFT>"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q",,
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"<NOSE, EVENT DISTANCE, OPENED DOOR>
<REDUCED POWER, CAUSE, STALLED>
<REDUCED POWER, CAUSE, ROLLED>
<REDUCED POWER, CAUSE, DIVED INTO OCEAN>
<FLIGHT, TIME PERIOD, TEST FLIGHT>
<FLIGHT, LOCATION, STORAGE>","<NOSE, EVENT DISTANCE, OPENED DOOR>
<REDUCED POWER, CAUSE, STALLED>
<REDUCED POWER, CAUSE, ROLLED>
<REDUCED POWER, CAUSE, DIVED INTO OCEAN>
<FLIGHT, TIME PERIOD, TEST FLIGHT>
<FLIGHT, LOCATION, STORAGE>"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"<SHEN HARNESS, ELEVATOR CONTROL JAMMED, ELEVATOR CABLE>
<SHEN HARNESS, STICK BOOT, FLOOR>
<LANDED IN A FIELD, LOCATION>","<SHEN HARNESS, ELEVATOR CONTROL JAMMED, ELEVATOR CABLE>
<SHEN HARNESS, STICK BOOT, FLOOR>
<LANDED IN A FIELD, LOCATION>"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"<LAST CONTROL, EVENT DISTANCE, LOST POWER EN ROUTE>
<LAST CONTROL, LOCATION, PRIVATE STRIP>
<LAST CONTROL, EVENT DISTANCE, NOSED OVER>
<LAST CONTROL, EFFECT, LEFT FUEL CAP LEAKED>
<LAST CONTROL, EFFECT, PREVENTED GRAVITY FUEL FLOW>","<LAST CONTROL, EVENT DISTANCE, LOST POWER EN ROUTE>
<LAST CONTROL, LOCATION, PRIVATE STRIP>
<LAST CONTROL, EVENT DISTANCE, NOSED OVER>
<LAST CONTROL, EFFECT, LEFT FUEL CAP LEAKED>
<LAST CONTROL, EFFECT, PREVENTED GRAVITY FUEL FLOW>"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"<ACFT DISPATCHER, HARMED, PILOT>
<PILOT, FORGOT, TIEDROPE>","<ACFT DISPATCHER, HARMED, PILOT>
<PILOT, FORGOT, TIEDROPE>"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","<(-23) THE HELICOPTER, LOCATION, HELIPAD>
<(-23) THE HELICOPTER, EVENT DISTANCE, FLY POSITION>","<(-23) THE HELICOPTER, LOCATION, HELIPAD>
<(-23) THE HELICOPTER, EVENT DISTANCE, FLY POSITION>"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","<COPPER TUBE, USED BY, AERIAL BANNERS>
<COPPER TUBE, EVENT DISTANCE, THROUGH THE ROOF OF A HOUSE>","<COPPER TUBE, USED BY, AERIAL BANNERS>
<COPPER TUBE, EVENT DISTANCE, THROUGH THE ROOF OF A HOUSE>"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","<MR. KADERA, EVENT DISTANCE, 3 MILES>
<MR. KADERA, LOCATION, HIGHWAY 93>
<MR. KADERA, LOCATION, SUNMER, IOWA>","<MR. KADERA, EVENT DISTANCE, 3 MILES>
<MR. KADERA, LOCATION, HIGHWAY 93>
<MR. KADERA, LOCATION, SUNMER, IOWA>"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN",,
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"<NOSE BAGGAGE CARGO, HAS CAUSE, WOODEN WHEEL CHOCK>","<NOSE BAGGAGE CARGO, HAS CAUSE, WOODEN WHEEL CHOCK>"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","<EXPLOSION, CAUSED, LOGS>
<EXPLOSION, CAUSED, COMPRESSOR STALL NR1 ENGINE>
<EXPLOSION, CAUSED, FAILED RELEASE LOGS>
<EXPLOSION, CAUSED, USE SE PROCEDURES>","<EXPLOSION, CAUSED, LOGS>
<EXPLOSION, CAUSED, COMPRESSOR STALL NR1 ENGINE>
<EXPLOSION, CAUSED, FAILED RELEASE LOGS>
<EXPLOSION, CAUSED, USE SE PROCEDURES>"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","<BEECH 1900D, TIME PERIOD, 1825 EASTERN STANDARD TIME>
<BEECH 1900D, LOCATION, N81SK>
<BEECH 1900D, EVENT, OPERATED AS SKYWAY AIRLINE FLIGHT>","<BEECH 1900D, TIME PERIOD, 1825 EASTERN STANDARD TIME>
<BEECH 1900D, LOCATION, N81SK>
<BEECH 1900D, EVENT, OPERATED AS SKYWAY AIRLINE FLIGHT>"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,,
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"<ENGINE, CAUSE, QUIT ON INITIAL CLIMBOUT>
<CRASH, EVENT DISTANCE, AVOIDING TREES>
<FUEL TANK, HAS EFFECT, SELECTED FUEL TANK EMPTY>
<TRIP, PURPOSE, GET FUEL>","<ENGINE, CAUSE, QUIT ON INITIAL CLIMBOUT>
<CRASH, EVENT DISTANCE, AVOIDING TREES>
<FUEL TANK, HAS EFFECT, SELECTED FUEL TANK EMPTY>
<TRIP, PURPOSE, GET FUEL>"
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"<CRASHED AND BURNED, EVENT DISTANCE, AFTER DEPARTURE FROM A GRASS RUNWAY>
<CRASHED AND BURNED, LOCATION, GRASS RUNWAY>","<CRASHED AND BURNED, EVENT DISTANCE, AFTER DEPARTURE FROM A GRASS RUNWAY>
<CRASHED AND BURNED, LOCATION, GRASS RUNWAY>"
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"<(-23) M, EVENT DISTANCE, LOUD POP ON TAKEOFF ROLL>
<(-23) M, EVENT DISTANCE, LOST RUDDER CONTROL>
<(-23) M, EVENT DISTANCE, EXITED RWY INTO CORNFIELD>
<(-23) M, EVENT DISTANCE, HAD FAILED TO LOCK THE TAILWHEEL>","<(-23) M, EVENT DISTANCE, LOUD POP ON TAKEOFF ROLL>
<(-23) M, EVENT DISTANCE, LOST RUDDER CONTROL>
<(-23) M, EVENT DISTANCE, EXITED RWY INTO CORNFIELD>
<(-23) M, EVENT DISTANCE, HAD FAILED TO LOCK THE TAILWHEEL>"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","<UNCONTROLLED GROUND COLLISION, CAUSED BY, PILOT ERROR>
<UNCONTROLLED GROUND COLLISION, CAUSED BY, CANOPY CAME OPEN ON CLIMBOUT>","<UNCONTROLLED GROUND COLLISION, CAUSED BY, PILOT ERROR>
<UNCONTROLLED GROUND COLLISION, CAUSED BY, CANOPY CAME OPEN ON CLIMBOUT>"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"<PILOT, HAS CAUSE, FAILED TO SECURE OIL FILLER CAP>
<PILOT, USED BY, OIL>","<PILOT, HAS CAUSE, FAILED TO SECURE OIL FILLER CAP>
<PILOT, USED BY, OIL>"
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, CONDITION, COCKED RIGHT>","<TAILWHEEL, CONDITION, COCKED RIGHT>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, EVENT, BECAME AIRBORNE>
<TOW PLANE, EVENT, SETTLED>
<TOW PLANE, EVENT, HIT TREE>
<STUDENT, ACTION, THOUGHT TOW IN TROUBLE>
<STUDENT, ACTION, RELEASED>","<TOW PLANE, EVENT, BECAME AIRBORNE>
<TOW PLANE, EVENT, SETTLED>
<TOW PLANE, EVENT, HIT TREE>
<STUDENT, ACTION, THOUGHT TOW IN TROUBLE>
<STUDENT, ACTION, RELEASED>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<2ND ILS APCH, HAS CAUSE, ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ>","<2ND ILS APCH, HAS CAUSE, ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<PLT, USED BY, SOFT R BRAKE PEDAL DRG TAXI>
<PLT, LOCATION, TKOF.FLT RTND SPRINGFIELD>
<PLT, LOCATION, BOS>","<PLT, USED BY, SOFT R BRAKE PEDAL DRG TAXI>
<PLT, LOCATION, TKOF.FLT RTND SPRINGFIELD>
<PLT, LOCATION, BOS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<TAXI, EVENT DISTANCE, HARD SFC DUE TFC R MAIN GR>
<TAXI, EVENT DISTANCE, ROOF OF A WASHED OUT UNDERGROUND TUNNEL>","<TAXI, EVENT DISTANCE, HARD SFC DUE TFC R MAIN GR>
<TAXI, EVENT DISTANCE, ROOF OF A WASHED OUT UNDERGROUND TUNNEL>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, EVENT DISTANCE, 6 IN RUT>
<ACFT, LOCATION, GRASS TAXIWAY NOSE WHEEL>","<ACFT, EVENT DISTANCE, 6 IN RUT>
<ACFT, LOCATION, GRASS TAXIWAY NOSE WHEEL>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<KNOWN ELECTRICAL PROBABILITY, USED BY, EMERG GR DOWN SYS>","<KNOWN ELECTRICAL PROBABILITY, USED BY, EMERG GR DOWN SYS>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<MTNS OBSCURED, MAINTAINED BY, FLT>
<MTNS OBSCURED, EVENT DISTANCE, PRIOR DAY>","<MTNS OBSCURED, MAINTAINED BY, FLT>
<MTNS OBSCURED, EVENT DISTANCE, PRIOR DAY>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<MAINT NOT PERFORMED, CAUSE, PARTS NOT AVAILABLE>
<MAINT NOT PERFORMED, CAUSE, TURBOCHARGER WASTE GATE DID NOT ACTUATE>","<MAINT NOT PERFORMED, CAUSE, PARTS NOT AVAILABLE>
<MAINT NOT PERFORMED, CAUSE, TURBOCHARGER WASTE GATE DID NOT ACTUATE>"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<LEFT ENG OIL SUPPLY, HAS CAUSE, GEAR-UP LDG IN MESQUITE BRUSH>
<LEFT ENG OIL SUPPLY, HAS CAUSE, DENSITY ALT,7200FT>
<LEFT ENG OIL SUPPLY, HAS CAUSE, HIGH OIL USAGE ENG>","<LEFT ENG OIL SUPPLY, HAS CAUSE, GEAR-UP LDG IN MESQUITE BRUSH>
<LEFT ENG OIL SUPPLY, HAS CAUSE, DENSITY ALT,7200FT>
<LEFT ENG OIL SUPPLY, HAS CAUSE, HIGH OIL USAGE ENG>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, EVENT DISTANCE, T/O>
<PLT, EVENT DISTANCE, IFR>
<PLT, EVENT DISTANCE, VFR DEPARTURE>
<PLT, EVENT DISTANCE, WNDSHD>
<PLT, EVENT DISTANCE, WINDOWS FOGGED UP>","<PLT, EVENT DISTANCE, T/O>
<PLT, EVENT DISTANCE, IFR>
<PLT, EVENT DISTANCE, VFR DEPARTURE>
<PLT, EVENT DISTANCE, WNDSHD>
<PLT, EVENT DISTANCE, WINDOWS FOGGED UP>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PLT, EVENT DISTANCE, PREV NOSE WHEEL VIBRATION>
<PLT, EVENT DISTANCE, GR SAFE LGT>
<PLT, EVENT DISTANCE, WIND GUSTING 23KTS>","<PLT, EVENT DISTANCE, PREV NOSE WHEEL VIBRATION>
<PLT, EVENT DISTANCE, GR SAFE LGT>
<PLT, EVENT DISTANCE, WIND GUSTING 23KTS>"
