index,index,c5_unique_id,c119_text,"entity1, relation_type, entity2"
74,1406,19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE.,"FULL AFT POSITION, TIME PERIOD, ENGINE START; PUSH THROTTLE, HAS EFFECT, AIRCRAFT COLLIDED WITH PARKED PLANE; AIRCRAFT COLLIDED WITH PARKED PLANE, HAS CAUSE, PUSH THROTTLE"
1406,1583,19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.,"RIGHT FUEL CAP MISSING, FOLLOWS, LIFTOFF; RIGHT FUEL CAP MISSING, HAS EFFECT, ABORTED; ABORTED, HAS CAUSE, RIGHT FUEL CAP MISSING; LANDED, LOCATION, SAME RUNWAY"
1583,2494,20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","DEPARTED, LOCATION, BARTLESVILLE MUNICIPAL AIRPORT; BARTLESVILLE MUNICIPAL AIRPORT, LOCATED IN THE ADMINISTRATIVE TERRITORIAL ENTITY, BARTLESVILLE OK; DEPARTED, TIME PERIOD, 1147 AM"
2494,466,19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.,"BRAKE FAILED, HAS EFFECT, RAN OFF END; RAN OFF END, HAS CAUSE, BRAKE FAILED"
466,165,19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.,"SNOW, PART OF, WHEEL PANTS; WHEELS LOCKED UP, FOLLOWS, TOUCH AND GO LANDINGS; SNOW, HAS EFFECT, WHEELS LOCKED UP; WHEELS LOCKED UP, HAS CAUSE, SNOW"
165,1882,19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"LANDED, LOCATION, ROUGH WATER; LOST POWER, HAS EFFECT, LANDED HARD; LANDED HARD, HAS CAUSE, LOST POWER; LANDED HARD, HAS EFFECT, DAMAGED FLOATS; LANDED HARD, HAS EFFECT, DAMAGED LONGERON; DAMAGED FLOATS, HAS CAUSE, LANDED HARD; DAMAGED LONGERON, HAS CAUSE, LANDED HARD; WATER, PART OF, FUEL"
1882,2544,20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","SLIDING, FOLLOWS, NORMAL TOUCHDOWN; SLIDING, LOCATION, LEFT SIDE OF RUNWAY; HYDROPLANING, FOLLOWS, NORMAL TOUCHDOWN; HYDROPLANING, LOCATION, LEFT SIDE OF RUNWAY"
2544,85,19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.,"ENGINE COWLING, PART OF, ENGINE; ENGINE COWLING SEPARATED, TIME PERIOD, FLIGHT"
85,2676,20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","FLIGHT, LOCATION, NOTH PLATTER NE; FLIGHT, EVENT DISTANCE, 487 STATUTE MILES; FLIGHT, LOCATION, IOWA CITY IA; LOST POWER, LOCATION, GRINNELL"
2676,155,19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.,"TIE DOWN STRAP, PART OF, LEFT SKID; CAUGHT ON TRAILER, HAS EFFECT, TEHTERED HEAPER; TETHERED HEAPER, HAS CAUSE, CAUGHT ON TRAILER"
155,2642,20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"FUEL TANK CAPS, MAINTAINED BY, PILOT IN COMMAND; ENSURE ALL FUEL TANK CAPS, FOLLOWED BY, DEPARTURE"
2642,2566,20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE,"FUEL CONTANIMATION, PART OF, AIRFRAME FUEL FILTER; FUEL CONTAMINATION, PART OF, FUEL FILTER; FUEL CONTANIMATION, PART OF, ENGINE DRIVEN FUEL PUMP FILTER"
2566,2264,19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"HYDRO LOCK, PART OF, NR5 CYL; CONNECTING ROD BENT, HAS CAUSE, HYDRO LOCK; HIT COUNTER WEIGHT, HAS EFFECT, BROKE PORP SHAFT"
2264,1151,19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","N106DA, INSTANCE OF, AIRCRAFT; BRAKE PROBLEMS, PART OF, AIRCRAFT; BRAKE PROBLEMS, HAS EFFECT, AIRCRAFT STRUCK N106DA"
1151,2458,20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","N759TY, CE-182, LOCATION, HOT SPRINGS ARKANSAS; N759TY, CE-182, LOCATION, FAYETTEVILLE TENNESSEE, N759TY, CE-182, INSTANCE OF, AIRCRAFT"
2458,1940,19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.,"NOSE BAGGAGE DOOR OPENED, TIME PERIOD, CLIMBOUT"
1940,914,19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"ELEVATOR CONTROL JAMMED, HAS CAUSE, HARNESS CAUGHT ON ELEVATOR CABLE; LANDED, LOCATION, FIELD"
914,1724,19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.,"LOST POWER, TIME PERIOD, ENROUTE; LANDED, LOCATION, PRIVATE STRIP; PREVENTED GRAVITY FUEL FLOW, HAS CAUSE, LEFT FUEL CAP LEAKED; LEFT FUEL CAP LEAKED, HAS EFFECT, PREVENTED GRAVITY FUEL FLOW"
1724,50,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,"TIEDROPE, MAINTAINED BY, PILOT; DISPATCHER, CONFLICT, PILOT"
50,2403,20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","HELICOPTER, LOCATION, HELIPAD; FLY POSITION, USED BY, TAKEOFF"
2403,1263,19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","COPPER TUBE, USED BY, AERIAL BANNERS"
1263,2099,19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","LAND, LOCATION, HIGHWAY 93; HIGHWAY 93, LOCATION, 3 MILES EAST OF SUNMER, IOWA"
2099,2218,19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","SEPTERMBER 23, 1999, TIME PERIOD, 1900 HOURS"
2218,2296,19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"WOODEN WHEEL CHOCK, PART OF, NOSE BAGGAGE CARGO; WOODEN WHEEL CHOCK SHIFTED, TIME PERIOD, FLIGHT; WOODEN WHEEL CHOCK SHIFTED, HAS EFFECT, JAMMED THE NOSE LANDING GEAR; JAMMED THE NOSE LANDING GEAR, HAS CAUSE, WOODEN WHEEL CHOCK SHIFTED"
2296,1920,19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","EXPLOSION, TIME PERIOD, LIFTING LOGS; FAILED RELEASE LOGS, HAS EFFECT, PITCHED UP;  FAILED RELEASE LOGS, HAS EFFECT, ROLLLED; FAILED TO USE SE PROCEDURES, HAS EFFECT, COMPRESSOR STALL NR1 ENGINE; COMPRESSOR STALL NR1 ENGINE, HAS CAUSE, FAILED TO USE SE PROCEDURES; ROLLED, HAS CAUSE, FAILED RELEASE LOGS; PITCHED UP, HAS CAUSE, FAILED RELEASE LOGS"
1920,2334,20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","FEBURARY 19, 2000, TIME PERIOD, 1825 EASTERN STANDARD TIME; BEECH 1900D, N81SK, INSTANCE OF, SKYWAY AIRLINE FLIGHT"
2334,1033,19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.,"GROUND LOOPED, TIME PERIOD, LANDING; TAILWHEEL, LOACTION, FAR RIGHT"
1033,1311,19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"ENGINE QUIT, TIME PERIOD, INTIAL CLIMBOUT; ENGINE QUIT, HAS EFFECT, CRASH LANDED; CRASH LANDED, HAS CAUSE, ENGINE QUIT; TRIP, HAS CAUSE, GET FUEL"
1311,2245,19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"WITNESSES, LOCATION, GRASS RUNWAY; CRASHED, TIME PERIOD, AFTER DEPARTURE; BURNED, TIME PERIOD, AFTER DEPARTURE"
2245,2045,19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"LOUD POP, TIME PERIOD, TAKEOFF ROLL; LOST RUDDER CONTROL, HAS EFFECT, LOUD POP;  EXITED RWY, LOCATION, CORNFIELD; FAILED TO LOCK TAILWHEEL, HAS EFFECT, LOST RUDDER CONTROL; LOST RUDDER CONTROL, HAS CAUSE, FAILED TO LOCK THE TAILWHEEL"
2045,1210,19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","CANOPY CAME OPEN, TIME PERIOD, CLIMBOUT; CANOPY CAME OPEN, HAS EFFECT, GROUND COLLISION; GROUND COLLISION, HAS CAUSE, CANOPY CAME OPEN;  PILOT ERROR, HAS EFFECT, CANOPY CAME OPEN; CANOPY CAME OPEN, HAS CAUSE, PILOT ERROR"
1210,2488,20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE,"OIL FILLER CAP, MAINTAINED BY, PILOT; OIL, PART OF, ENGINE"
