c5_sources,entity1,entity2,weight,relations,rows
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE,N/A,1,INFLUENCED BY,278
19790223006939I,BAGGAGE CART,ROLLED INTO B99,1,HAS EFFECT,285
19790223006939I,B99,WHILE DEPARTING GATE JET BLAST,1,FOLLOWED BY,285
19790316009739I,NOS EWHEEL,RAMP,1,EVENT DISTANCE,288
19790316009739I,PROP,NOSE WHEEL SANK DOWN IN HOLE ON RAMP,1,HAS EFFECT,288
19790318009229I,ZG,FORCED LANDING AFTER ENGINE QUIT,1,HAS EFFECT,289
19790318009229I,ZG,FUEL SELECTOR NOT POSITIONED PROPERLY,1,HAS EFFECT,289
19790404013469I,NOISE DURING RETRACTION,NOSE GEAR COLLAPSED ON LANDING,1,HAS EFFECT,291
19790404013469I,LOOSE NOSE GEAR DOOR,BROKE MECHANISM,1,HAS EFFECT,291
19790207002469A,EMERGENCY LANDING,AFTER FALLING FROM GLOVE BOX,1,EVENT DISTANCE,292
19790214002969A,STARTED ENGINE,SEAT SLID BACK,1,HAS EFFECT,295
19790214002969A,UNABLE TO REACH CONTROLS,HIT PARKED ACFT,1,HAS EFFECT,295
19790414012459I,FUEL SYSTEM,CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE,1,HAS EFFECT,297
19790211007509A,MADEN AIRCRAFT,WATER IN FUEL,1,HAS EFFECT,298
