id,sample,entities_predicted,entity_types_predicted
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","['N759TY', 'CE-182', 'EN ROUTE', 'HOT SPRINGS', 'ARKANSAS', 'FAYETTEVILLE', 'TENNESSEE', 'AIRCRAFT ENGINE']","['VEHICLE', 'VEHICLE', 'PHASE', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'SYSTEM']"
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"['CLIMBOUT', 'NOSE BAGGAGE DOOR', 'OCEAN', 'TEST FLIGHT', 'STORAGE']","['PHASE', 'COMPONENT', 'LOCATION', 'EVENT', 'LOCATION']"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"['ELEVATOR CONTROL', 'HARNESS', 'ELEVATOR CABLE', 'STICK BOOT', 'FLOOR', 'LANDED', 'FIELD']","['SYSTEM', 'OBJECT', 'SYSTEM', 'OBJECT', 'OBJECT', 'PHASE', 'LOCATION']"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"['EN ROUTE', 'PRIVATE STRIP', 'LEFT FUEL CAP', 'GRAVITY FUEL FLOW']","['PHASE', 'LOCATION', 'COMPONENT', 'SYSTEM']"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"['ACFT DISPATCHER', 'PILOT', 'TIEDROPE']","['PERSON', 'PERSON', 'OBJECT']"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","['HELICOPTER', 'HELIPAD', 'RPM CONTROL', 'FLY POSITION', 'TAKEOFF']","['VEHICLE', 'LOCATION', 'SYSTEM', 'SETTING', 'PHASE']"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","['COPPER TUBE', 'AERIAL BANNERS', 'ROOF', 'HOUSE', 'LOCAL OPERATOR']","['OBJECT', 'OBJECT', 'STRUCTURE', 'STRUCTURE', 'PERSON']"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","['MR. KADERA', 'FIELD', 'HIGHWAY 93', 'SUNMER', 'IOWA']","['PERSON', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION']"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","['SEPTEMBER 23, 1999', '1900 HOURS PACIFIC DAYLIGHT TIME', 'HOMEBUILT CIERNIA GLASAIR III', 'N153JC']","['DATE', 'TIME', 'VEHICLE', 'IDENTIFIER']"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"['NOSE BAGGAGE CARGO', 'WOODEN WHEEL CHOCK', 'FLIGHT', 'NOSE LANDING GEAR']","['CARGO', 'CARGO', 'PHASE', 'SYSTEM']"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","['EXPLOSION', 'LOGS', 'COMPRESSOR STALL', 'NR1 ENGINE', 'SE PROCEDURES']","['EVENT', 'OBJECT', 'EVENT', 'SYSTEM', 'PROCEDURE']"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","['FEBRUARY 19, 2000', '1825 EASTERN STANDARD TIME', 'BEECH 1900D', 'N81SK', 'SKYWAY AIRLINE FLIGHT']","['DATE', 'TIME', 'VEHICLE', 'VEHICLE IDENTIFIER', 'ORGANIZATION']"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,"['GROUND LOOPED', 'LANDING', 'TAILWHEEL']","['PHASE', 'PHASE', 'SYSTEM']"
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"['ENGINE', 'INITIAL CLIMBOUT', 'TREES', 'FUEL TANK', 'TRIP']","['SYSTEM', 'PHASE', 'OBSTACLE', 'SYSTEM', 'ACTIVITY']"
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"['WITNESSES', 'DEPARTURE', 'GRASS RUNWAY', 'AIRPLANE']","['PERSON', 'PHASE', 'LOCATION', 'VEHICLE']"
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"['TAKEOFF ROLL', 'RUDDER', 'RWY', 'CORNFIELD', 'TAILWHEEL']","['PHASE', 'SYSTEM', 'LOCATION', 'LOCATION', 'SYSTEM']"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","['CANOPY', 'CLIMBOUT', 'GROUND COLLISION', 'PILOT']","['SYSTEM', 'PHASE', 'EVENT', 'PERSON']"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"['PILOT', 'OIL FILLER CAP', 'TOOK OFF', 'OIL', 'ENGINE']","['PERSON', 'COMPONENT', 'PHASE', 'SUBSTANCE', 'SYSTEM']"
