c5,c119,phi4mini_instruct_triplets_clean
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"<NOSE, EVENT DISTANCE, OPENED DOOR>
<REDUCED POWER, CAUSE, STALLED>
<REDUCED POWER, CAUSE, ROLLED>
<REDUCED POWER, CAUSE, DIVED INTO OCEAN>
<FLIGHT, TIME PERIOD, TEST FLIGHT>
<FLIGHT, LOCATION, STORAGE>"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"<SHEN HARNESS, ELEVATOR CONTROL JAMMED, ELEVATOR CABLE>
<SHEN HARNESS, STICK BOOT, FLOOR>
<LANDED IN A FIELD, LOCATION>"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"<LAST CONTROL, EVENT DISTANCE, LOST POWER EN ROUTE>
<LAST CONTROL, LOCATION, PRIVATE STRIP>
<LAST CONTROL, EVENT DISTANCE, NOSED OVER>
<LAST CONTROL, EFFECT, LEFT FUEL CAP LEAKED>
<LAST CONTROL, EFFECT, PREVENTED GRAVITY FUEL FLOW>"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"<ACFT DISPATCHER, HARMED, PILOT>
<PILOT, FORGOT, TIEDROPE>"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","<(-23) THE HELICOPTER, LOCATION, HELIPAD>
<(-23) THE HELICOPTER, EVENT DISTANCE, FLY POSITION>"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","<COPPER TUBE, USED BY, AERIAL BANNERS>
<COPPER TUBE, EVENT DISTANCE, THROUGH THE ROOF OF A HOUSE>"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","<MR. KADERA, EVENT DISTANCE, 3 MILES>
<MR. KADERA, LOCATION, HIGHWAY 93>
<MR. KADERA, LOCATION, SUNMER, IOWA>"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN",
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"<NOSE BAGGAGE CARGO, HAS CAUSE, WOODEN WHEEL CHOCK>"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","<EXPLOSION, CAUSED, LOGS>
<EXPLOSION, CAUSED, COMPRESSOR STALL NR1 ENGINE>
<EXPLOSION, CAUSED, FAILED RELEASE LOGS>
<EXPLOSION, CAUSED, USE SE PROCEDURES>"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","<BEECH 1900D, TIME PERIOD, 1825 EASTERN STANDARD TIME>
<BEECH 1900D, LOCATION, N81SK>
<BEECH 1900D, EVENT, OPERATED AS SKYWAY AIRLINE FLIGHT>"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"<ENGINE, CAUSE, QUIT ON INITIAL CLIMBOUT>
<CRASH, EVENT DISTANCE, AVOIDING TREES>
<FUEL TANK, HAS EFFECT, SELECTED FUEL TANK EMPTY>
<TRIP, PURPOSE, FUEL>"
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"<CRASHED AND BURNED, EVENT DISTANCE, AFTER DEPARTURE FROM A GRASS RUNWAY>
<CRASHED AND BURNED, LOCATION, GRASS RUNWAY>"
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"<(-23) M, EVENT DISTANCE, LOUD POP ON TAKEOFF ROLL>
<(-23) M, EVENT DISTANCE, LOST RUDDER CONTROL>
<(-23) M, EVENT DISTANCE, EXITED RWY INTO CORNFIELD>
<(-23) M, EVENT DISTANCE, HAD FAILED TO LOCK THE TAILWHEEL>"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","<UNCONTROLLED GROUND COLLISION, CAUSED BY, PILOT ERROR>
<UNCONTROLLED GROUND COLLISION, CAUSED BY, CANOPY CAME OPEN ON CLIMBOUT>"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"<PILOT, HAS CAUSE, FAILED TO SECURE OIL FILLER CAP>
<PILOT, USED BY, OIL>"
