c5,c119,gemma3_4b_it_triplets_clean
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"<LOST POWER, HAS EFFECT, LANDED HARD>
<LANDED HARD, LOCATION, WATER>
<LANDED HARD, HAS EFFECT, ROUGH>
<DAMAGED FLOATS, HAS EFFECT, LANDED HARD>
<LONGERON, HAS EFFECT, LANDED HARD>
<WATER, HAS EFFECT, FUEL>
<WATER, LOCATION, SUMP>
<FUEL, LOCATION, SUMP>"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","<AIRCRAFT, STARTED SLIDING, LEFT SIDE OF RUNWAY>"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"<ENGINE COWLING, PART OF, ENGINE>
<ENGINE COWLING, EVENT DISTANCE, FLIGHT>"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","<NOTH PLATTE, LOCATION, NE>
<IOWA CITY, LOCATION, IA>
<AIRCRAFT, TIME PERIOD, FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA>
<AIRCRAFT, DISTANCE, 487 STATUTE MILES>
<AIRCRAFT, HAS EFFECT, LOST POWER>
<AIRCRAFT, LOCATION, GRINNELL>"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"<TIE DOWN STRAP, PART OF, LEFT SKID>
<TIE DOWN STRAP, CAUGHT ON, TRAILER>"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"<FUEL CONTAMINATION, PART OF, AIRFRAME>
<FUEL CONTAMINATION, LOCATION, FUEL FILTER>
<FUEL CONTAMINATION, LOCATION, ENGINE DRIVEN FUEL PUMP FILTER>"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"<CONNECTING ROD, BENT BY, HYDRO LOCK>
<CONNECTING ROD, TIME PERIOD, STARTUP>
<CONNECTING ROD, BROKE>
<BROKE, CAUSE, NR5 CYL>
<BROKE, HAS EFFECT, PORP SHAFT>
<PORP SHAFT, BROKE>"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","<AIRCRAFT, STRUCK, N106DA>
<AIRCRAFT, HAS CAUSE, BRAKE PROBLEMS>"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","<N759TY, INSTANCE OF, AIRCRAFT>
<CE-182, FOLLOWED BY, HOT SPRINGS, ARKANSAS>
<CE-182, FOLLOWED BY, FAYETTEVILLE, TENNESSEE>
<CE-182, HAS CAUSE, ENGINE Q>"
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"<NOSE BAGGAGE DOOR, OPENED, CLIMBOUT>
<REDUCED POWER, HAS EFFECT, STALLED>
<STALLED, FOLLOWED BY, DIVED INTO OCEAN>
<FIRST TEST FLIGHT, FOLLOWED BY, STORAGE>"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"<ELEVATOR CONTROL, INSTANCE OF, JAMMED>
<SHEN HARNESS, CAUGHT ON, ELEVATOR CABLE>
<STICK BOOT, NOT FASTENED TO, FLOOR>
<ELEVATOR, HAS EFFECT, FIELD>"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"<LOST POWER, HAS CAUSE, EN ROUTE>
<LANDED ON PRIVATE STRIP, FOLLOWED BY, NOSED OVER>
<NOSED OVER, HAS CAUSE, LEFT FUEL CAP LEAKED>
<LEFT FUEL CAP LEAKED, HAS EFFECT, Prevented Gravity Fuel Flow>"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"<ACFT DISPATCHER, HAS CAUSE, PILOT FORGOT TO REMOVE TIEDROPE>
<PILOT, HAS CAUSE, TIEDROPE>"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","<HELICOPTER, INSTANCE OF, BELL HELICOPTER>
<HELICOPTER, LOCATION, HELIPAD>
<RPM CONTROL, USED BY, PILOT>
<RPM CONTROL, FOLLOWED BY, AFTER TAKEOFF>"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","<COPPER TUBE, USED BY, LOCAL OPERATOR>
<COPPER TUBE, PART OF, AERIAL BANNERS>
<COPPER TUBE, HAS CAUSE, FELL THROUGH THE ROOF>
<ROOF, LOCATION, HOUSE>"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","<MR. KADERA, LOCATED AT, HIGHWAY 93>
<MR. KADERA, HAS CAUSE, FORCED TO LAND>
<MR. KADERA, EVENT DISTANCE, 3 MILES>
<MR. KADERA, LOCATION, SUNMER, IOWA>"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","<CIERNIA GLASAIR III, INSTANCE OF, HOMEBUILT>
<N153JC, INSTANCE OF, CIERNIA GLASAIR III>
<SEPTEMBER 23, 1999, TIME PERIOD, 1900 HOURS PACIFIC DAYLIGHT TIME>"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"<NOSE BAGGAGE CARGO, PART OF, WOODEN WHEEL CHOCK>
<NOSE BAGGAGE CARGO, HAS EFFECT, JAMMED THE NOSE LANDING GEAR>
<JAMMED THE NOSE LANDING GEAR, HAS CAUSE, FLIGHT>"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","<EXPLOSION, HAS CAUSE, LOGS>
<EXPLOSION, FOLLOWED BY, PITCHED UP>
<EXPLOSION, FOLLOWED BY, ROLLED>
<COMPRESSOR STALL, HAS CAUSE, NR1 ENGINE>
<COMPRESSOR STALL, HAS EFFECT, FAILED RELEASE LOGS>
<COMPRESSOR STALL, USED BY, SE PROCEDURES>"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","<SKYWAY AIRLINE FLIGHT, OPERATED BY, BEECH 1900D>
<SKYWAY AIRLINE FLIGHT, TIME PERIOD, FEBRUARY 19, 2000>
<SKYWAY AIRLINE FLIGHT, TIME PERIOD, 1825 EASTERN STANDARD TIME>
<BEECH 1900D, INSTANCE OF, N81SK>"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,"<GROUND LOOPED, HAS EFFECT, TAILWHEEL>
<TAILWHEEL, PART OF, GROUND LOOPED>
<TAILWHEEL, LOCATION, FAR RIGHT>"
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"<AFTER ENGINE QUIT, HAS CAUSE, INITIAL CLIMBOUT>
<CRASH, FOLLOWED BY, AVOIDING TREES>
<FOUND, HAS EFFECT, SELECTED FUEL TANK EMPTY>
<TRIP, TIME PERIOD, FUEL>"
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"<CRASHED, HAS CAUSE, BURNED>
<CRASHED, TIME PERIOD, AFTER DEPARTURE>
<CRASHED, LOCATION, GRASS RUNWAY>
<CRASHED, ALTITUDE, REACHED AN ALTITU>"
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"<LOUD POP, HAS CAUSE, TAKEOFF ROLL>
<LOUD POP, HAS CAUSE, LOST RUDDER CONTROL>
<LOUD POP, HAS CAUSE, EXITED RWY INTO CORNFIELD>
<LOUD POP, HAS CAUSE, HAD FAILED TO LOCK THE TAILWHEEL>"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","<CANOPY, HAS EFFECT, UNCONTROLLED GROUND COLLISION>
<CANOPY, EVENT DISTANCE, CLIMBOUT>
<PILOT ERROR, INFLUENCED BY, CANOPY>"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"<PILOT, HAS CAUSE, FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE>
<PILOT, USED BY, OIL>
<ENGINE, HAS EFFECT, OIL WAS OBSERVED COMING OUT>"
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, COCKED, RIGHT>
<TAILWHEEL, TIME PERIOD, PRIOR TO TKOF>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, BECOME, AIRBORNE>
<TOW PLANE, RELEASED BY, STUDENT>
<STUDENT, THOUGHT, TOW IN TROUBLE>
<TOW PLANE, HIT, TREE>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<ILS APCH, FOLLOWED BY, 2ND ILS APCH>
<ACFT, HAS CAUSE, G/S INOP>
<LOM, FOLLOWED BY, WRONG FREQ>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<BRAKE PEDAL, HAS EFFECT, SOFT>
<FLIGHT, FOLLOWED BY, RTND SPRINGFIELD>
<FLIGHT, INFLUENCED BY, STRONG WINDS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<TFC R MAIN, HAS CAUSE, BROKE THROUGH ROOF>
<TFC R MAIN, PART OF, WASHED OUT UNDERGROUND TUNNEL>
<WASHED OUT UNDERGROUND TUNNEL, LOCATION, TUNNEL>
<TAXI, FOLLOWED BY, SFC>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, LOCATED ON, GRASS TAXIWAY>
<ACFT, PART OF, TAXIWAY>
<NOSE WHEEL, PART OF, ACFT>
<6 IN RUT, HAS EFFECT, ACFT>
<6 IN RUT, LOCATION, TAXIWAY>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<DEP, PART OF, FLIGHT>
<DEP, HAS CAUSE, KNOWN ELEC PROB>
<DEP, FOLLOWED BY, DIDNT USE EMERG GR DOWN SYS>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<FLIGHT, FOLLOWED BY, REC REPTD INOP>
<FLIGHT, TIME PERIOD, PRIOR DAY>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<MAINT, NOT PERFORMED, PARTS NOT AVAILABLE>
<TURBOCHARGER, HAS CAUSE, WASTE GATE DID NOT ACTUATE>"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<LEFT ENG OIL SUPPLY, HAS EFFECT, EXHAUSTED>
<GEAR-UP, FOLLOWED BY, AFTER LANDING>
<AFTER LANDING, LOCATION, MESQUITE BRUSH>
<DENSITY ALTITUDE, LOCATION, 7200 FT>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, CONTINUED TO, T/O>
<PLT, FOLLOWED BY, WNDSHD>
<PLT, FOLLOWED BY, WINDOWS FOGGED UP>
<PLT, INFLUENCED BY, VFR DEPARTURE>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PILOT, PREOCCUPIED BY, PREVIOUS NOSE WHEEL VIBRATION>
<PILOT, DID NOT OBSERVE, GR SAFE LIGHT>
<WIND, SPEED, 23KTS>"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","<ELECT SYST, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED>
<ELECT SYST, TIME PERIOD, NOT TIME TO EXT>
<GEAR, MAINTAINED BY, MANUALLY>"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"<GRASS FIRE, HAS CAUSE, SKID>
<SKID, INSTANCE OF, REFUELING LINE>"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","<BANNER PICK UP, HAS EFFECT, L LNDG GR>
<LOOP ON TOW ROPE, FOLLOWED BY, PLT UN MAINTAIN FLT>"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","<R ENG, HAS CAUSE, L MAG EXCESSIVE DROP>
<R ENG, HAS CAUSE, PRESSURE SWITCH MALFUNCTION>
<R ENG, FOLLOWED BY, ATTEMPTS FEATHER R PROP>"
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"<RUDDER GUST LOCK, INSTANCE OF, RUDDER GUST LOCK ENGAGED>
<WINGS, HAS EFFECT, ICE>
<OVERWEIGHT, HAS EFFECT, OVERWEIGHT>"
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"<RUDDER & AIL CTL CABLES, PART OF, RUDDER>
<RUDDER & AIL CTL CABLES, PART OF, AIL CTL>
<RUDDER & AIL CTL CABLES, LOCATION, BATTERY BOX SUPPORT STRUCTURE>"
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"<L MAG, INSTANCE OF, #5>
<L MAG, HAS CAUSE, CYL COMPRESSION>
<CYL COMPRESSION, VALUE, 25/80>"
19770530012939A,WRONG PROP INSTALLED                                                                                               ,"<PROP, INSTANCE OF, AIRFRAME>
<PROP, HAS CAUSE, WRONG INSTALLED>"
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"<FLUID, LOCATION, R BRAKE>
<FLUID, TIME PERIOD, PRIOR TO DEPARTURE>"
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"<MIXTURE CONTROL BALL BEARING, MISSING FROM, HANDLE>"
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"<OIL FILLER CAP, MISSING>"
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,"<N42807, INSTANCE OF, ACFT>
<N7930C, INSTANCE OF, ACFT>
<PLT, USED BY, N42807>
<PLT, USED BY, N7930C>
<TOTAL HYD FAILURE, HAS CAUSE, N42807>
<TOTAL HYD FAILURE, HAS CAUSE, N7930C>
<CONTINUED TAXIING, FOLLOWED BY, N42807>
<CONTINUED TAXIING, FOLLOWED BY, N7930C>"
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"<PLT, USED, EMERG LNDNG GR EXTNSN>
<PLT, INFLUENCED BY, ELECTRICAL PWR FAILURE>"
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"<INSUFFICIENT ALTITUDE, HAS EFFECT, SUCCESSFUL AUTOROTATION>"
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","<CHOKER CABLE, PART OF, CARGO HOOK>
<CHOKER CABLE, HAS EFFECT, FLT>
<CARGO HOOK, USED BY, SLIPSTREAM>
<STRUCK T/R, HAS CAUSE, STRUCK>"
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"<OIL TEMP BULB, HAS EFFECT, RETAINING NUT FINGER TIGHT>
<FIRST FLT AFTR ANNUAL, TIME PERIOD, ANNUAL>"
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"<AN175-16, INSTANCE OF, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, CRACKED, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, PART OF, BOLT>
<WASHER, SEPARATED FROM, BOLT>"
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"<APRX 1745LBS, HAS CAUSE, OVR MAX GWT>
<ENG, HAS CAUSE, FEATHERED>
<AUTOFEATHER, HAS CAUSE, NOT CONNECTED>
<FUEL, USED BY, 100 OCTANE>"
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","<EMERGENCY LANDING, HAS CAUSE, AFTER ENGINE QUIT>
<EMERGENCY LANDING, HAS CAUSE, IMPROPER PREFLIGHT>
<EMERGENCY LANDING, HAS CAUSE, FUEL>"
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"<FORCED LANDING, HAS CAUSE, AFTER ENGINE QUIT>
<FORCED LANDING, HAS EFFECT, WATER IN FUEL>"
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"<POWER LOSS, HAS EFFECT, FORCED LANDING>
<FUEL, HAS EFFECT, WATER FOUND>"
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"<FORCED LANDING, HAS CAUSE, AFTER ENGINE QUIT>
<FORCED LANDING, HAS EFFECT, FOUND FROZEN WATER>
<FOUND FROZEN WATER, LOCATION, FUEL SYSTEM>"
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","<ABORTED TAKEOFF, CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<ABORTED TAKEOFF, HAS EFFECT, STRIKING SNOW BANK>"
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","<AFTER ENGINE QUIT, HAS CAUSE, ICE RESTRICTION>
<LANDING MADE ON FROZEN LAKE, LOCATION, FROZEN LAKE>
<LANDING MADE ON FROZEN LAKE, HAS EFFECT, MAIN FUEL STRAINER>"
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"<FUEL TANKS, CHANGED BY, OPERATOR>
<ENGINE, BECAME, ROUGH>
<ENGINE, SHUT DOWN, OPERATOR>
<ENGINE, TOPPED OFF WITH, JET FUEL>"
19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ","<ENGINE, HAS CAUSE, ENGINE VIBRATED>
<ENGINE, HAS CAUSE, LOST POWER>
<ENGINE, HAS CAUSE, QUIT>
<CARBURETOR FLOAT BOWL, HAS EFFECT, CONTAMINATED WITH WATER>"
19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"<GEAR SWITCH, NOT IN, DOWN POSITION>
<GEAR SWITCH, ACTION, RETRACTED>
<GEAR, TAKE OFF ROLL, FAILURE>"
19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"<PILOT, HAS CAUSE, FAILED TO CHECK POSITION OF GEAR HANDLE>
<GEAR HANDLE, HAS EFFECT, GEAR RETRACTED>
<GEAR RETRACTED, FOLLOWED BY, TAKEOFF ROLL>"
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","<TAXIED OFF RUNWAY, PART OF, RUNWAY>
<TAXIED OFF RUNWAY, TIME PERIOD, NIGHT>
<LANDING LIGHT, HAS CAUSE, INOPERATIVE>"
19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","<RUDDER, PART OF, R AIL CTL>"
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","<RT BRAKE, INSTANCE OF, PUCK 70>
<RT BRAKE, HAS CAUSE, WORN>
<RT BRAKE, HAS CAUSE, FADING>
<RT BRAKE, TIME PERIOD, LAST WK>"
19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"<WATER, LOCATION, REAR COMPTMT FLOATS>
<WATER, HAS EFFECT, EXCEEDED AFT CG LMT>
<THROTTLE FRICTION, HAS EFFECT, LOOSE>"
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,"<AIRCRAFT OWNER, OWNED BY, NEW AIRCRAFT OWNER>
<AIRCRAFT OWNER, LACK OF KNOWLEDGE, PURPOSE OR OPERATION OF QUICK DRAIN>
<QUICK DRAIN, STATUS, PARTIALLY OPENED>
<QUICK DRAIN, TIME PERIOD, PREFLIGHT>"
19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ","<PILOT, HAS CAUSE, FAILED TO REMOVE TOW BAR BEFORE TAKEOFF>
<PILOT, HAS CAUSE, STRANGE NOISE DURING RETRACTION>
<GEAR, INSTANCE OF, GEAR EXTENDED OK>
<GEAR, HAS EFFECT, LANDED OK>"
19771016042599A,WIND GUSTING TO 25.                                                                                                ,"<WIND, HAS CAUSE, GUSTING TO 25>"
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,"<ENGINE COWLING, PART OF, ENGINE>
<ENGINE COWLING, HAS EFFECT, FLIGHT>
<ENGINE COWLING, CAUSED BY, NOT BEEN LATCHED PROPERLY>"
19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"<PILOT, OBSERVED, GEAR SAFE LIGHTS>
<PILOT, HAS CAUSE, GEAR COLLAPSED>
<GEAR COLLAPSED, HAS CAUSE, HYDRAULIC RESERVOIR OUT OF FLUID>"
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","<ENGINE, HAS CAUSE, WATER IN FUEL>
<ENGINE, EVENT DISTANCE, 200 FEET>
<ENGINE, TIME PERIOD, AFTER TAKEOFF>
<NO PILOT CERTIFICATE, INSTANCE OF, NO PILOT CERTIFICATE>
<ANNUAL, INSTANCE OF, ANNUAL>"
19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","<NOSE GEAR, INSTANCE OF, GEAR>
<NOSE GEAR, COLLAPSED, WHILE WAITING FOR TAKEOFF>
<NOSE GEAR, MAINTAINED BY, GEAR>
<NOSE GEAR, FOLLOWED BY, COLLAPSE>
<NOSE GEAR, FOLLOWED BY, NOT BRACED>"
19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"<ENGINE, HAS CAUSE, ICE>
<ENGINE, PART OF, FUEL SYSTEM>
<FUEL SYSTEM, HAS EFFECT, AFTER ENGINE QUIT>"
19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,"<PILOT, HAS CAUSE, FROST ON THE WINGS>
<PILOT, HAS CAUSE, FAILURE TO USE FULL POWER>"
19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,"<ENGINE, HAS CAUSE, LOW OIL PRESSURE>
<DIP STICK, FOUND, MISSING>"
19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,"<PILOT, INTENDED TO FLY, LOCALLY>
<PILOT, TIME PERIOD, AFTER RECENT BLIZZARD>
<ENGINE, HAS CAUSE, SNOW PACKED>
<ENGINE, LOCATION, ENGINE COWL>
<ENGINE, HAS CAUSE, AFTER TAKEOFF>
<ENGINE, EVENT DISTANCE, >"
