c5,c119,gemma3_4b_it_triplets_clean
19790813023739A,ENGINE FAILED DUE TO WATER AND TRASH IN FUEL. AIRCRAFT REFUELED FROM A BARREL. NO FILTER USED.                     ,"<ENGINE, HAS CAUSE, WATER AND TRASH IN FUEL>
<AIRCRAFT, USED BY, BARREL>
<AIRCRAFT, DID NOT USE, FILTER>"
19790728024469A,"OIL FILLER CAP WAS LOOSE. NO OIL FOUND AT WRECK SIGHT, ALTHOUGH A HOLE WAS KNOCKED IN OIL PAN BY IMPACT FORCES.    ","<OIL FILLER CAP, HAS EFFECT, LOOSE>
<OIL FILLER CAP, LOCATION, WRECK SIGHT>
<OIL, LOCATION, WRECK SIGHT>
<HOLE, HAS CAUSE, IMPACT FORCES>
<OIL PAN, LOCATION, WRECK SIGHT>"
19790817031829I,ZA ZG STUDENT PILOT RAN OUT OF GAS AFTER 1 HOUR FLIGHT. FUEL GAUGES ALSO READ INCORRECTLY.                         ,"<STUDENT PILOT, OWNED BY, ZA>
<STUDENT PILOT, TIME PERIOD, 1 HOUR FLIGHT>
<FUEL GAUGES, HAS EFFECT, READ INCORRECTLY>
<FUEL, RAN OUT>"
19790705018829I,"ENGINE QUIT ON TAKEOFF DUE TO WATER IN FUEL. PILOT LANDED GEAR UP, HAD FAILED TO DRAIN WING SUMPS IN PREFLIGHT.    ","<ENGINE QUIT, HAS CAUSE, WATER IN FUEL>
<ENGINE QUIT, TIME PERIOD, AFTER TAKEOFF>
<PILOT, PERFORMED, LANDED GEAR UP>
<PILOT, PERFORMED, HAD FAILED TO DRAIN WING SUMPS>
<WING SUMPS, MAINTAINED BY, PILOT>
<PREFLIGHT, PERFORMED BY, PILOT>"
19790816031569I,FLUCTUATION AND GRADUAL LOSS OF OIL PRESSURE BEFORE SHUTTING ENGINE DOWN. LOOSE OIL FILLER CAP.                    ,"<FLUCTUATION, HAS EFFECT, LOSS OF OIL PRESSURE>
<LOSS OF OIL PRESSURE, HAS CAUSE, LOOSE OIL FILLER CAP>
<LOSS OF OIL PRESSURE, FOLLOWED BY, SHUTTING ENGINE DOWN>"
19790820032669I,WHILE EN ROUTE OIL PRESSURE DROPPED TO 10 PSI. LANDED ON HIGHWAY AND FOUND OIL CAP HAD NOT BEEN PROPERLY SEATED.   ,"<OIL PRESSURE, HAS CAUSE, DROPPED TO 10 PSI>
<OIL PRESSURE, LOCATION, EN ROUTE>
<OIL CAP, HAS EFFECT, NOT BEEN PROPERLY SEATED>
<OIL CAP, MAINTAINED BY, PILOT>
<OIL CAP, PART OF, OIL SYSTEM>"
19790729018879A,NOSE GEAR COLLAPSED ON LANDING ROLL. FOUND HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR.           ,"<NOSE GEAR, COLLAPSED, AFTER LANDING>
<HYDRAULIC RESERVOIR, TOO LOW ON FLUID, LANDING GEAR>"
19790829023019A,ENGINE STOPPED DURING SPRAY RUN. LANDED IN SOYBEAN FIELD. FLIPPED OVER. WATER IN FUEL.                             ,"<ENGINE, HAS CAUSE, SPRAY RUN>
<ENGINE, INSTANCE OF, STOPPED>
<AIRCRAFT, INSTANCE OF, AIRPLANE>
<AIRCRAFT, LANDED IN, SOYBEAN FIELD>
<AIRCRAFT, ACTION, FLIPPED OVER>
<FUEL, HAS EFFECT, WATER>"
19790801021959A,ENGINE FAILURE DUE TO WATER IN FUEL.                                                                               ,"<ENGINE FAILURE, HAS CAUSE, WATER IN FUEL>"
19790820029909A,"CABIN DOOR OPENED ON TAKEOFF ROLL. PILOT ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY, RAN OFF END INTO ROCKS.        ","<CABIN DOOR, OPENED, TAKEOFF ROLL>
<PILOT, ABORTED, AFTER TAKEOFF>
<PILOT, UNABLE TO STOP, RUNWAY>
<PILOT, RAN OFF, END>
<PILOT, RAN OFF, ROCKS>"
19790812030579I,"DURING TAKEOFF ROLL, GEAR COLLAPSED. GEAR SWITCH IN UP POSITION.                                                   ","<TAKE OFF ROLL, HAS CAUSE, GEAR COLLAPSED>
<TAKE OFF ROLL, HAS EFFECT, GEAR SWITCH>
<TAKE OFF ROLL, LOCATION, NOT IN THE FULL DOWN POSITION>"
19790808027309A,ENGINE FAILED DURING TAKEOFF. PILOT ATTEMPTED RETURN TO RUNWAY. INSUFFICIENT ALTITUDE. WATER IN FUEL.              ,"<ENGINE, HAS CAUSE, AFTER TAKEOFF>
<AFTER TAKEOFF, FOLLOWED BY, RETURN TO RUNWAY>
<AFTER TAKEOFF, HAS EFFECT, INSUFFICIENT ALTITUDE>
<FUEL, HAS EFFECT, WATER IN FUEL>"
19790712020439I,STOPPED ON RUNWAY AFTER LANDING. NOSE GEAR TORQUE LINK APEX PIN WAS NOT INSTALLED.                                 ,"<STOPPED ON RUNWAY, INSTANCE OF, AFTER LANDING>
<NOSE GEAR TORQUE LINK, PART OF, APEX PIN>
<APEX PIN, NOT INSTALLED>"
19790716019189I,AIRSTAIR DOOR CAME OPEN AFTER TAKEOFF. DURING LANDING DOOR DRUG ON RUNWAY TEARING LOOSE FROM AIRCRAFT.             ,"<AIRSTAIR DOOR, INSTANCE OF, DOOR>
<AIRSTAIR DOOR, EVENT DISTANCE, AFTER TAKEOFF>
<AIRSTAIR DOOR, HAS EFFECT, TEARING LOOSE>
<DOOR, HAS EFFECT, RUNWAY>
<DOOR, PART OF, AIRCRAFT>"
19790710018689I,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,"<ELECTRICAL FAILURE, HAS CAUSE, MANUAL GEAR EXTENSION>
<PILOT, HAS CAUSE, FAILED TO REENGAGE CLUTCH>
<PILOT, HAS CAUSE, LOCK GEAR IN PLACE>"
19790918023659I,PILOT OWNER FORGOT TO RECONNECT NOSE GEAR DOOR RETRACT RODS WHICH RESULTED IN JAMMING THE NOSE GEAR.               ,"<PILOT, USED BY, OWNER>
<NOSE GEAR DOOR, PART OF, GEAR>
<RETRACT RODS, PART OF, GEAR>
<JAMMING THE NOSE GEAR, HAS CAUSE, FORGOT TO RECONNECT NOSE GEAR DOOR RETRACT RODS>"
19790927050049I,PILOT REPORTED UNSAFE GEAR INDICATION. LANDED WITHOUT INCIDENT. GEAR LIGHT WAS SELECTED TO THE DIM POSITION.       ,"<PILOT, REPORTED, UNSAFE GEAR INDICATION>
<GEAR LIGHT, SELECTED, DIM POSITION>
<AIRCRAFT, LANDED, WITHOUT INCIDENT>"
19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,"<ENGINE COWL, HAS EFFECT, ENGINE SHUT DOWN>
<ENGINE COWL, MAINTAINED BY, NOT PROPERLY SECURED>"
19790929049639I,GEAR COLLAPSED 200 FEET AFTER START OF TAKEOFF RUN. SELECTOR SWITCH FOUND NOT IN THE FULL DOWN POSITION.           ,"<GEAR, PART OF, AIRCRAFT>
<GEAR COLLAPSED, EVENT DISTANCE, 200 FEET>
<GEAR COLLAPSED, TIME PERIOD, AFTER START OF TAKEOFF RUN>
<SELECTOR SWITCH, HAS CAUSE, NOT IN THE FULL DOWN POSITION>"
19791017051209I,ENGINE STOPPED DUE TO OBSTRUCTED FUEL VENT LINE.                                                                   ,"<ENGINE, HAS CAUSE, OBSTRUCTED FUEL VENT LINE>"
19791022054789I,ENGINE STOPPED DUE TO FUEL STARVATION. NEWLY INSTALLED FUEL CAP WAS NOT VENTED.                                    ,"<ENGINE, HAS CAUSE, FUEL STARVATION>
<FUEL CAP, HAS CAUSE, FUEL STARVATION>
<FUEL CAP, INSTANCE OF, A NON-VENTED CAP>"
19790904034369I,ZA ZG ZH EMERGENCY LANDING DUE TO FUEL CONTAMINATED WITH WATER.                                                    ,"<EMERGENCY LANDING, HAS CAUSE, FUEL CONTAMINATED WITH WATER>"
19791022029739A,ENGINE STOPPED AFTER LIFTOFF ON A TOUCH AND GO LANDING. HIT TREES. FOUND WATER IN FUEL.                            ,"<ENGINE, HAS CAUSE, TOUCH AND GO LANDING>
<ENGINE, EVENT DISTANCE, LIFTOFF>
<ENGINE, HAS EFFECT, HIT TREES>
<FUEL, HAS EFFECT, FOUND WATER IN>"
19791030053329I,PILOT TOOK OFF AND CONTINUED NIGHT FLIGHT WITH BATTERY DISCHARING. MISUSED EMERGENCY GEAR SYSTEM.                  ,"<PILOT, PERFORMED, TOOK OFF>
<PILOT, CONTINUED, NIGHT FLIGHT>
<BATTERY, DISCHARGING, PILOT>
<EMERGENCY GEAR SYSTEM, MISUSED, PILOT>"
19791108054919I,"COCKPIT DOOR PARTIALLY OPENED AT ROTATION. PILOT ABORTED, RAN OFF END OF RUNWAY. PROP AND ONE MAIN GEAR DAMAGED.   ","<COCKPIT DOOR, PARTIALLY OPENED, AT ROTATION>
<PILOT, ABORTED, AFTER TAKEOFF>
<PILOT, RAN OFF, END OF RUNWAY>
<PROP, DAMAGED, MAIN GEAR>"
19790916031359A,ENGINE STOPPED ON TAKEOFF. LANDED OFF END RUNWAY. FOUND WATER IN FUEL SYSTEM.                                      ,"<ENGINE, HAS CAUSE, AFTER TAKEOFF>
<ENGINE, INSTANCE OF, STOPPED>
<LANDED, FOLLOWED BY, END OF RUNWAY>
<FOUND WATER IN FUEL SYSTEM, HAS EFFECT, FUEL SYSTEM>"
19790919027319A,ENGINE FAILED DURING TAKEOFF DUE TO WATER IN FUEL. AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING.            ,"<ENGINE, HAS CAUSE, WATER IN FUEL>
<ENGINE, INSTANCE OF, AIRCRAFT>
<AIRCRAFT, HAS CAUSE, WATER IN FUEL>
<AIRCRAFT, EVENT DISTANCE, AFTER TAKEOFF>
<AIRCRAFT, HAS CAUSE, ATTEMPTED EMERGENCY LANDING>
<AIRCRAFT, EVENT DISTANCE, EMERGENCY LANDING>
<AIRCRAFT, RESULTED IN, CRASH>"
19791102034159A,PILOT ATTEMPTED 180 DEGREE TURN WHEN ENGINE FAILED AFTER TAKEOFF. ENGINE FAILURE ATTRIBUTED TO WATR IN FUEL.       ,"<PILOT, PERFORMED, 180 DEGREE TURN>
<PILOT, HAS CAUSE, ENGINE FAILURE>
<ENGINE FAILURE, HAS CAUSE, WATER IN FUEL>
<ENGINE FAILURE, TIME PERIOD, AFTER TAKEOFF>"
19791103056779I,"ENGINE QUIT FROM TOO RICH A MIXTURE, LANDED SHORT. PRIMER WAS UNLOCKED, MIXTURE FULL RICH, CARB HEAT ON.           ","<ENGINE, HAS CAUSE, TOO RICH A MIXTURE>
<ENGINE, TIME PERIOD, UNKNOWN>
<PRIMER, HAS EFFECT, MIXTURE FULL RICH>
<CARB HEAT, HAS EFFECT, MIXTURE FULL RICH>
<PRIMER, STATE, UNLOCKED>"
