c5,c119,phi4mini_instruct_triplets_clean
19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,"<ENGINE COWL, HAS EFFECT, ENGINE SHUT DOWN>
<ENGINE COWL, MAINTAINED BY, NOT BEEN PROPERLY SECURED>"
19790929049639I,GEAR COLLAPSED 200 FEET AFTER START OF TAKEOFF RUN. SELECTOR SWITCH FOUND NOT IN THE FULL DOWN POSITION.           ,"<SELECTOR SWITCH, NOT IN THE FULL DOWN POSITION, GEAR COLLAPSED>"
19791017051209I,ENGINE STOPPED DUE TO OBSTRUCTED FUEL VENT LINE.                                                                   ,"<ENGINE, HAS EFFECT, ENGINE STOPPED DUE TO OBSTRUCTED FUEL VENT LINE>"
19791022054789I,ENGINE STOPPED DUE TO FUEL STARVATION. NEWLY INSTALLED FUEL CAP WAS NOT VENTED.                                    ,"<NEWLY INSTALLED FUEL CAP, HAS EFFECT, ENGINE STOPPED DUE TO FUEL STARVATION>
<NEWLY INSTALLED FUEL CAP, USED BY, ENGINE>"
19790904034369I,ZA ZG ZH EMERGENCY LANDING DUE TO FUEL CONTAMINATED WITH WATER.                                                    ,"<ZA ZG ZH EMERGENCY LANDING, CAUSED BY, FUEL CONTAMINATED WITH WATER>"
19791022029739A,ENGINE STOPPED AFTER LIFTOFF ON A TOUCH AND GO LANDING. HIT TREES. FOUND WATER IN FUEL.                            ,"<ENGINE, HAS EFFECT, HIT TREES>
<ENGINE, HAS EFFECT, FOUND WATER IN FUEL>"
19791030053329I,PILOT TOOK OFF AND CONTINUED NIGHT FLIGHT WITH BATTERY DISCHARING. MISUSED EMERGENCY GEAR SYSTEM.                  ,"<PILOT, USED BY, NIGHT FLIGHT>
<PILOT, USED BY, EMERGENCY GEAR SYSTEM>
<EMERGENCY GEAR SYSTEM, MISUSED BY, PILOT>"
19791108054919I,"COCKPIT DOOR PARTIALLY OPENED AT ROTATION. PILOT ABORTED, RAN OFF END OF RUNWAY. PROP AND ONE MAIN GEAR DAMAGED.   ","<COCKPIT DOOR, EVENT DISTANCE, PARTIALLY OPENED AT ROTATION>
<PILOT, ACTION, ABORTED>
<PILOT, EVENT DISTANCE, RAN OFF END OF RUNWAY>
<PROP, CONDITION, DAMAGED>
<MAIN GEAR, CONDITION, DAMAGED>"
19790916031359A,ENGINE STOPPED ON TAKEOFF. LANDED OFF END RUNWAY. FOUND WATER IN FUEL SYSTEM.                                      ,"<ENGINE, HAS EFFECT, LANDED OFF END RUNWAY>
<FUEL SYSTEM, HAS EFFECT, LANDED OFF END RUNWAY>
<FUEL SYSTEM, HAS EFFECT, FOUND WATER IN FUEL>"
19790919027319A,ENGINE FAILED DURING TAKEOFF DUE TO WATER IN FUEL. AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING.            ,"<ENGINE, HAS EFFECT, AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING>
<ENGINE, HAS CAUSE, WATER IN FUEL>"
19791102034159A,PILOT ATTEMPTED 180 DEGREE TURN WHEN ENGINE FAILED AFTER TAKEOFF. ENGINE FAILURE ATTRIBUTED TO WATR IN FUEL.       ,"<PILOT, HAS EFFECT, ENGINE FAILURE>
<ENGINE FAILURE, HAS CAUSE, WATR IN FUEL>"
19791103056779I,"ENGINE QUIT FROM TOO RICH A MIXTURE, LANDED SHORT. PRIMER WAS UNLOCKED, MIXTURE FULL RICH, CARB HEAT ON.           ","<ENGINE QUIT, HAS CAUSE, TOO RICH A MIXTURE>
<LANDED SHORT, HAS EFFECT, ENGINE QUIT>
<PRIMER WAS UNLOCKED, HAS EFFECT, MIXTURE FULL RICH>
<MIXTURE FULL RICH, HAS EFFECT, CARB HEAT ON>"
