c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19781119026389I,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ","<AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH, NO BRAKES DUE TO INSUFFICIENT FLUID>","<AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH, NO BRAKES DUE TO INSUFFICIENT FLUID>"
19781216025369I,LANDING GEAR SELECTOR INADVERTENTLY LEFT IN UP POSITION. GEAR COLLAPSED ON TAKEOFF. GEAR WARNING HORN INOP.        ,"<LANDING GEAR SELECTOR, INADVERTENTLY LEFT IN, UP POSITION>
<LANDING GEAR, COLLAPSED ON, TAKEOFF>
<GEAR WARNING HORN, INOP>","<LANDING GEAR SELECTOR, INADVERTENTLY LEFT IN, UP POSITION>
<LANDING GEAR, COLLAPSED ON, TAKEOFF>
<GEAR WARNING HORN, INOP>"
19790102000919I,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,"<LOST DIRECTIONAL CONTROL, CAUSED BY, EMPTY RIGHT BRAKE MASTER CYLINDER>
<RIGHT BRAKE MASTER CYLINDER, STATE, EMPTY>
<RIGHT BRAKE MASTER CYLINDER, NOT SERVICED FOR, 5 MONTHS>","<LOST DIRECTIONAL CONTROL, CAUSED BY, EMPTY RIGHT BRAKE MASTER CYLINDER>
<RIGHT BRAKE MASTER CYLINDER, STATE, EMPTY>
<RIGHT BRAKE MASTER CYLINDER, NOT SERVICED FOR, 5 MONTHS>"
19790127003859I,ENGINE QUIT DUE TO WATER IN THE FUEL. SOURCE OF CONTAMINATION WAS LOCAL STORAGE TANK.                              ,"<ENGINE QUIT, HAS CAUSE, WATER IN THE FUEL>
<ENGINE QUIT, SOURCE OF CONTAMINATION, LOCAL STORAGE TANK>","<ENGINE QUIT, HAS CAUSE, WATER IN THE FUEL>
<ENGINE QUIT, SOURCE OF CONTAMINATION, LOCAL STORAGE TANK>"
19781231044159A,HEAVY FROST ON ACT AND ICE ON TRIM HINGES.                                                                         ,,
19781207022839I,"PILOT TOOK OFF WITH SNOW BLOWN IN THE ENGINE COMPARTMENT. SNOW MELTED, THEN FROZE UP THE THROTTLE LINKAGE.         ","<PILOT, HAS EFFECT, SNOW BLOWN IN THE ENGINE COMPARTMENT>
<PILOT, HAS EFFECT, SNOW MELTED>
<PILOT, HAS EFFECT, FROZE UP THE THROTTLE LINKAGE>","<PILOT, HAS EFFECT, SNOW BLOWN IN THE ENGINE COMPARTMENT>
<PILOT, HAS EFFECT, SNOW MELTED>
<PILOT, HAS EFFECT, FROZE UP THE THROTTLE LINKAGE>"
19781102039739A,"GUST LOCK FOUND ATTACHED TO R WING. SUB DMG TO CESSNA 172,N8107T.                                                  ","<GUST LOCK, ATTACHED TO, R WING>
<CESSNA 172, SUB DMG TO, N8107T>","<GUST LOCK, ATTACHED TO, R WING>
<CESSNA 172, SUB DMG TO, N8107T>"
19781215040349A,HOOK RELEASE ELECTRICAL PLUG FOUND DISCONNECTED.LOAD FROZEN TO THOUND.                                             ,"<LOAD, HAS EFFECT, HOOK RELEASE ELECTRICAL PLUG>
<LOAD, HAS EFFECT, FROZEN TO THOUND>","<LOAD, HAS EFFECT, HOOK RELEASE ELECTRICAL PLUG>
<LOAD, HAS EFFECT, FROZEN TO THOUND>"
19781117041969A,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,"<FROST, AFFECTS, AIRCRAFT>
<FROST, AFFECTS, TURBOCHARGERS>","<FROST, AFFECTS, AIRCRAFT>
<FROST, AFFECTS, TURBOCHARGERS>"
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,"<PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE, INFLUENCED BY, N/A>","<PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE, INFLUENCED BY, N/A>"
19781223039539A,BOTH GENERATOR CIRCUIT BREAKERS OUT.PILOT DID NOT RESET BREAKERS TTEMPT MANUAL GEAR EXTENSION.                     ,"<BOTH GENERATOR CIRCUIT BREAKERS, OUT, PILOT>
<PILOT, DID NOT RESET, BOTH GENERATOR CIRCUIT BREAKERS>","<BOTH GENERATOR CIRCUIT BREAKERS, OUT, PILOT>
<PILOT, DID NOT RESET, BOTH GENERATOR CIRCUIT BREAKERS>"
19781228040429A,ELT IMPACT SWITCH INOP.                                                                                            ,,
19790203005099I,PILOT LOST DIRECTIONAL CONTROL AFTER LOSING RIGHT BRAKE ON LANDING. VEERED OFF RUNWAY. BRAKE WORN OUT.             ,"<PILOT, LOST DIRECTIONAL CONTROL, AFTER LOSING RIGHT BRAKE ON LANDING>
<PILOT, LOST DIRECTIONAL CONTROL, AFTER BRAKE WORN OUT>
<PILOT, LOST DIRECTIONAL CONTROL, AFTER BRAKE WORN OUT, VEERED OFF RUNWAY>
<PILOT, LOST DIRECTIONAL CONTROL, BRAKE WORN OUT, VEERED OFF RUNWAY>","<PILOT, LOST DIRECTIONAL CONTROL, AFTER LOSING RIGHT BRAKE ON LANDING>
<PILOT, LOST DIRECTIONAL CONTROL, AFTER BRAKE WORN OUT>
<PILOT, LOST DIRECTIONAL CONTROL, AFTER BRAKE WORN OUT, VEERED OFF RUNWAY>
<PILOT, LOST DIRECTIONAL CONTROL, BRAKE WORN OUT, VEERED OFF RUNWAY>"
19790207005159I,"FORCED LANDING AFTER ENGINE QUIT, FOUND ICE IN FUEL STRAINER.                                                      ","<ENGINE QUIT, CAUSED, FORCED LANDING AFTER ENGINE QUIT>
<ENGINE QUIT, CAUSED BY, ICE IN FUEL STRAINER>","<ENGINE QUIT, CAUSED, FORCED LANDING AFTER ENGINE QUIT>
<ENGINE QUIT, CAUSED BY, ICE IN FUEL STRAINER>"
19790210006409I,FORCED LANDING AFTER ENGINE QUIT. FOUND WATER IN FUEL.                                                             ,"<ENGINE QUIT, CAUSED, FORCED LANDING AFTER ENGINE QUIT>
<ENGINE QUIT, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER ENGINE QUIT>","<ENGINE QUIT, CAUSED, FORCED LANDING AFTER ENGINE QUIT>
<ENGINE QUIT, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER ENGINE QUIT>"
19790220007249I,GRINDING NOISE WITH GEAR RETRACTION. NOSE GEAR PARTIALLY RETRACTED STRUT FLAT AND WHEEL CANTED.                    ,,
19790223006939I,WHILE DEPARTING GATE JET BLAST CAUSED A BAGGAGE CART TO ROLL INTO B99 WHICH WAS FOLLOWING CLOSE BEHIND.            ,"<BAGGAGE CART, HAS EFFECT, ROLLED INTO B99>
<B99, FOLLOWED BY, WHILE DEPARTING GATE JET BLAST>","<BAGGAGE CART, HAS EFFECT, ROLLED INTO B99>
<B99, FOLLOWED BY, WHILE DEPARTING GATE JET BLAST>"
19790306009619I,TAXIED INTO DRAINAGE DITCH AT NIGHT. LANDING LIGHT INOPERABLE.                                                     ,"<TAXIING AIRCRAFT, EVENT DISTANCE, TAXIED INTO DRAINAGE DITCH AT NIGHT>
<TAXIING AIRCRAFT, HAS EFFECT, LANDING LIGHT INOPERABLE>","<TAXIING AIRCRAFT, EVENT DISTANCE, TAXIED INTO DRAINAGE DITCH AT NIGHT>
<TAXIING AIRCRAFT, HAS EFFECT, LANDING LIGHT INOPERABLE>"
19790313008789I,PILOT TAXIED OFF RAMP AT NIGHT. LANDING LIGHT WAS BURNED OUT                                                       ,"<PILOT, USED BY, TAXI>
<TAXI, LOCATION, RAMP>
<LANDING LIGHT, EVENT, BURNED OUT>","<PILOT, USED BY, TAXI>
<TAXI, LOCATION, RAMP>
<LANDING LIGHT, EVENT, BURNED OUT>"
19790316009739I,"NOSE WHEEL SANK DOWN IN HOLE ON RAMP, PROP STRUCK GROUND                                                           ","<NOS EWHEEL, EVENT DISTANCE, RAMP>
<PROP, HAS EFFECT, NOSE WHEEL SANK DOWN IN HOLE ON RAMP>","<NOS EWHEEL, EVENT DISTANCE, RAMP>
<PROP, HAS EFFECT, NOSE WHEEL SANK DOWN IN HOLE ON RAMP>"
19790318009229I,ZG FORCED LANDING AFTER ENGINE QUIT. FUEL SELECTOR WAS NOT POSITIONED PROPERLY.                                    ,"<ZG, HAS EFFECT, FORCED LANDING AFTER ENGINE QUIT>
<ZG, HAS EFFECT, FUEL SELECTOR NOT POSITIONED PROPERLY>","<ZG, HAS EFFECT, FORCED LANDING AFTER ENGINE QUIT>
<ZG, HAS EFFECT, FUEL SELECTOR NOT POSITIONED PROPERLY>"
19790318009019I,PRECAUTIONARY LANDING MADE DUE TO LOW OVERCASE AND INSTRUMENT LIGHT INOPERATIVE.                                   ,"<PRECAUTIONARY LANDING, CAUSED BY, LOW OVERCASE>
<PRECAUTIONARY LANDING, CAUSED BY, INSTRUMENT LIGHT INOPERATIVE>","<PRECAUTIONARY LANDING, CAUSED BY, LOW OVERCASE>
<PRECAUTIONARY LANDING, CAUSED BY, INSTRUMENT LIGHT INOPERATIVE>"
19790404013469I,"LOUD NOISE DURING RETRACTION, NOSE GEAR COLLPASED ON LANDING. LOOSE NOSE GEAR DOOR JAMMED AND BROKE MECHANISM. ZK  ","<NOISE DURING RETRACTION, HAS EFFECT, NOSE GEAR COLLAPSED ON LANDING>
<LOOSE NOSE GEAR DOOR, HAS EFFECT, BROKE MECHANISM>","<NOISE DURING RETRACTION, HAS EFFECT, NOSE GEAR COLLAPSED ON LANDING>
<LOOSE NOSE GEAR DOOR, HAS EFFECT, BROKE MECHANISM>"
19790207002469A,ARMED FLARE GUN DISCHARGED IN CABIN AFTER FALLING FROM GLOVE BOX.PILOT MADE EMERGENCY LANDING.                     ,"<EMERGENCY LANDING, EVENT DISTANCE, AFTER FALLING FROM GLOVE BOX>
<EMERGENCY LANDING, CAUSED BY, ARMED FLARE GUN DISCHARGED IN CABIN>
<EMERGENCY LANDING, PILOT, MADE EMERGENCY LANDING>","<EMERGENCY LANDING, EVENT DISTANCE, AFTER FALLING FROM GLOVE BOX>
<EMERGENCY LANDING, CAUSED BY, ARMED FLARE GUN DISCHARGED IN CABIN>
<EMERGENCY LANDING, PILOT, MADE EMERGENCY LANDING>"
19790316004819A,"PILOT UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF, DUE TO RESTRICTED STEERING AND FROST.                             ","<PILOT, HAS EFFECT, UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF>
<PILOT, HAS EFFECT, RESTRICTED STEERING>
<PILOT, HAS EFFECT, FROST>","<PILOT, HAS EFFECT, UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF>
<PILOT, HAS EFFECT, RESTRICTED STEERING>
<PILOT, HAS EFFECT, FROST>"
19790224005689A,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,"<PILOT, DID NOT, REMOVE SNOW FROM THE WINGS>
<AIRCRAFT, FOUND, 4 DAYS LATER>","<PILOT, DID NOT, REMOVE SNOW FROM THE WINGS>
<AIRCRAFT, FOUND, 4 DAYS LATER>"
19790214002969A,"FAILED TO ASSURE SEAT WAS LOCKED.STARTED ENGINE,SEAT SLID BACK.PILOT WAS UNABLE REACH CONTROLS.HIT PARKED ACFT.    ","<STARTED ENGINE, HAS EFFECT, SEAT SLID BACK>
<PILOT, HAS EFFECT, UNABLE TO REACH CONTROLS>
<UNABLE TO REACH CONTROLS, HAS EFFECT, HIT PARKED ACFT>","<STARTED ENGINE, HAS EFFECT, SEAT SLID BACK>
<PILOT, HAS EFFECT, UNABLE TO REACH CONTROLS>
<UNABLE TO REACH CONTROLS, HAS EFFECT, HIT PARKED ACFT>"
19790207005339I,FORWARD CARGO DOOR CAME OFF AFTER TAKEOFF. DOOR WAS NOT LATCHED.                                                   ,"<FORWARD CARGO DOOR, EVENT DISTANCE, AFTER TAKEOFF>
<FORWARD CARGO DOOR, CONDITION, NOT LATCHED>","<FORWARD CARGO DOOR, EVENT DISTANCE, AFTER TAKEOFF>
<FORWARD CARGO DOOR, CONDITION, NOT LATCHED>"
19790414012459I,"ENGINE SUDDENLY STOPPED. FUEL SYSTEM FOUND TO BE CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE                 ","<FUEL SYSTEM, HAS EFFECT, CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE>","<FUEL SYSTEM, HAS EFFECT, CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE>"
19790211007509A,ENGINE STOPPED ON CLIMB-OUT. MADE EMERGENCY CRASH LANDING. WATER IN FUEL.                                          ,"<ENGINE, STOPPED ON, CLIMB-OUT>
<MADEN AIRCRAFT, HAS EFFECT, WATER IN FUEL>","<ENGINE, STOPPED ON, CLIMB-OUT>
<MADEN AIRCRAFT, HAS EFFECT, WATER IN FUEL>"
19790410008789A,FORCED LANDING DUE TO ENGINE FAILURE. THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER.         ,"<ENGINE FAILURE, CAUSE, WATER FOUND IN FUEL>
<ENGINE FAILURE, CAUSE, WATER IN COMPANY OWNED FUEL TANKER>
<ENGINE FAILURE, EFFECT, FORCED LANDING DUE TO ENGINE FAILURE>","<ENGINE FAILURE, CAUSE, WATER FOUND IN FUEL>
<ENGINE FAILURE, CAUSE, WATER IN COMPANY OWNED FUEL TANKER>
<ENGINE FAILURE, EFFECT, FORCED LANDING DUE TO ENGINE FAILURE>"
